사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
로얄치과의원,치과의원,2016-05-31,197646.388904396,446420.759276915,2026-04-25 22:30:23,I,03,폐업,49,1,0,2016-05-25 18:32:19,,1981-06-23,140-906,서울특별시 용산구 이촌동 301번지 151호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119813020033041100001,3020000,서울특별시 용산구 이촌로 245 (이촌동),04423,03,폐업,0,,,
조승복의원,의원,2011-02-08,,,2026-04-25 22:30:23,I,03,폐업,44.98,2,0,2011-02-09 11:25:54,,1982-02-19,,서울특별시 용산구 원효로2가 91-9,101 111 112 113 114,"내과, 소아청소년과, 안과, 이비인후과, 피부과",의원,PHMA119823020033041100001,3020000,,,03,폐업,0,,,
동원한의원,한의원,2016-10-21,196222.074680651,448559.644195097,2026-04-25 22:30:23,I,03,폐업,49.5,1,0,2016-10-20 18:01:04,,1983-06-23,140-070,서울특별시 용산구 도원동 3번지 5호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119833020033041100003,3020000,서울특별시 용산구 새창로12길 3 (도원동),04356,03,폐업,0,,,
한진치과의원,치과의원,2021-08-17,197703.314956029,450122.985851126,2026-04-25 22:30:23,I,03,폐업,62.7,1,0,2021-08-17 16:59:17,,1984-03-17,140-818,서울특별시 용산구 동자동 11번지 3호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119843020033041100001,3020000,서울특별시 용산구 후암로 95-2 (동자동),04324,03,폐업,0,,,
이안과의원,의원,2009-02-02,,,2026-04-25 22:30:23,I,03,폐업,45,1,0,2009-02-02 17:53:03,,1984-07-02,,서울특별시 용산구 이촌동 300-23,112,안과,의원,PHMA119843020033041100002,3020000,,,03,폐업,0,,,
녹십자의원,의원,2017-12-30,200502.179579742,447861.95859763,2026-04-25 22:30:23,I,03,폐업,85,0,0,2017-12-29 16:49:51,,1984-11-07,,서울특별시 용산구 한남동 79번지 3호,108 115,"성형외과, 비뇨의학과",의원,PHMA119843020033041100004,3020000,서울특별시 용산구 대사관로 76 (한남동),04410,03,폐업,0,,,
성신이비인후과의원,의원,2013-03-04,,,2026-04-25 22:30:23,I,03,폐업,42.9,1,0,2013-03-04 16:49:17,,1985-01-10,,서울특별시 용산구 이촌동 300-153 한강맨숀 205호,113,이비인후과,의원,PHMA119853020033041100001,3020000,,,03,폐업,0,,,
신동찬산부인과의원,의원,2017-09-30,196734.132737912,447085.288934583,2026-04-25 22:30:23,I,03,폐업,198,1,0,2017-09-29 14:35:15,,1985-03-22,,서울특별시 용산구 한강로3가 40번지 141호,104 110 111,"외과, 산부인과, 소아청소년과",의원,PHMA119853020033041100002,3020000,"서울특별시 용산구 한강대로15길 12 (한강로3가, 신동찬산부인과의원)",04379,03,폐업,0,,,
문치과의원,치과의원,2010-07-02,,,2026-04-25 22:30:23,I,03,폐업,43.08,1,0,2010-07-02 17:21:54,,1985-05-02,140-190,서울특별시 용산구 후암동 105-3,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119853020033041100003,3020000,,,03,폐업,0,,,
이수찬치과의원,치과의원,2010-12-30,,,2026-04-25 22:30:23,I,03,폐업,86,1,0,2010-12-30 10:21:46,,1985-05-16,140-871,서울특별시 용산구 한강로2가 186,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119853020033041100004,3020000,,,03,폐업,0,,,
최세원치과의원,치과의원,2024-12-31,197553.467403213,447989.372343998,2026-04-25 22:30:23,I,03,폐업,79.85,1,0,2024-12-17 14:30:45,,1986-04-09,140-011,서울특별시 용산구 한강로1가 241번지 1호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119863020033041100001,3020000,서울특별시 용산구 한강대로62길 18 (한강로1가),04382,03,폐업,0,,,
보광가정의원,의원,2024-05-01,199860.819809374,447348.10086997,2026-04-25 22:30:23,I,03,폐업,149.5,1,0,2024-04-23 17:27:20,,1986-05-01,,서울특별시 용산구 보광동 259번지 1호,101 104 110 111 114 115,"내과, 외과, 산부인과, 소아청소년과, 피부과, 비뇨의학과",의원,PHMA119863020033041100002,3020000,"서울특별시 용산구 보광로 46 (보광동, 용호빌딩)",04414,03,폐업,0,,,
서은치과의원,치과의원,2025-04-26,198319.100051752,449371.647335956,2026-04-25 22:30:23,I,03,폐업,80,1,0,2025-04-23 15:46:26,,1987-04-29,140-902,서울특별시 용산구 후암동 415번지 36호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119873020033041100004,3020000,서울특별시 용산구 신흥로36길 1 (후암동),04337,03,폐업,0,,,
서울의원,의원,2009-12-21,,,2026-04-25 22:30:23,I,03,폐업,600,1,0,2009-12-21 17:05:38,,1990-03-31,,서울특별시 용산구 한남동 5-3,103 122,"정신건강의학과, 가정의학과",의원,PHMA119903020033041100002,3020000,,,03,폐업,0,,,
동방한의원,한의원,2023-04-30,196520.832831837,448235.51044774,2026-04-25 22:30:23,I,03,폐업,59.4,1,0,2023-04-26 14:47:36,,1990-12-04,,서울특별시 용산구 용문동 18번지 15호 동방한의원,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119903020033041100005,3020000,"서울특별시 용산구 새창로35길 5, 동방한의원 (용문동)",04364,03,폐업,0,,,02-712-5041
조동욱산부인과의원,의원,2009-09-01,,,2026-04-25 22:30:23,I,03,폐업,117,1,0,2009-09-01 14:50:13,,1991-01-16,,서울특별시 용산구 이태원동 303-17,110,산부인과,의원,PHMA119913020033041100001,3020000,,,03,폐업,0,,,
느티나무한의원,한의원,2019-12-31,200477.785288312,448010.408774762,2026-04-25 22:30:23,I,03,폐업,108.8,1,0,2019-12-26 11:33:12,,1991-04-30,140-887,서울특별시 용산구 한남동 657번지 201호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119913020033041100003,3020000,서울특별시 용산구 한남대로21길 14 (한남동),04401,03,폐업,0,,,
유명한의원,한의원,2017-01-03,197318.367531615,447539.357644211,2026-04-25 22:30:23,I,03,폐업,96.56,1,0,2017-01-05 13:54:27,,1991-06-07,140-872,서울특별시 용산구 한강로2가 146번지 1호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119913020033041100004,3020000,서울특별시 용산구 한강대로40길 22 (한강로2가),04386,03,폐업,0,,,
이정준치과의원,치과의원,2018-01-22,196596.438958989,448791.762333138,2026-04-25 22:30:23,I,03,폐업,171,1,0,2018-01-22 14:25:21,,1991-10-09,140-896,서울특별시 용산구 효창동 5번지 52호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119913020033041100005,3020000,서울특별시 용산구 효창원로 150 (효창동),04317,03,폐업,0,,,
용산복지의원,의원,2013-09-04,197431.710875586,449143.721978763,2026-04-25 22:30:23,I,03,폐업,140.2,1,0,2013-09-04 15:09:46,,1993-02-25,140-806,서울특별시 용산구 갈월동 85번지 3호 남영빌딩 206호,101 122 119,"내과, 진단검사의학과, 가정의학과",의원,PHMA119933020033041100002,3020000,"서울특별시 용산구 한강대로 295 (갈월동,남영빌딩 206호)",,03,폐업,0,,,
보광치과의원,치과의원,2013-12-23,,,2026-04-25 22:30:23,I,03,폐업,97.4,1,0,2014-12-18 17:07:38,,1993-03-24,140-823,서울특별시 용산구 보광동 260-8,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119933020033041100004,3020000,,,03,폐업,0,,,
박경진가정의학의원,의원,2011-04-11,,,2026-04-25 22:30:23,I,03,폐업,25.81,1,0,2011-04-12 09:25:36,,1993-06-08,,서울특별시 용산구 용문동 41-48,101 111 122,"내과, 소아청소년과, 가정의학과",의원,PHMA119933020033041100005,3020000,,,03,폐업,0,,,
에스엠씨치과의원,치과의원,2009-12-31,,,2026-04-25 22:30:23,I,03,폐업,368.69,4,0,2009-12-31 17:09:23,,1994-05-28,140-210,서울특별시 용산구 한남동 741-1,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119943020033041100001,3020000,,,03,폐업,0,,,
서울성심정형외과의원,의원,2025-03-05,196476.469404071,448056.380702319,2026-04-25 22:30:23,I,03,폐업,195.65,1,0,2025-03-07 18:03:05,,1994-06-01,,서울특별시 용산구 원효로2가 92번지 3호 세원빌딩,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",의원,PHMA119943020033041100002,3020000,"서울특별시 용산구 원효로 162, 1층 (원효로2가)",04366,03,폐업,0,,,02-701-4864
수미안치과의원,치과의원,2010-11-23,,,2026-04-25 22:30:23,I,03,폐업,102.17,1,0,2010-11-23 14:36:12,,1994-06-01,140-200,서울특별시 용산구 이태원동 22-2,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119943020033041100003,3020000,,,03,폐업,0,,,
재단법인서울의과학연구소부설서울의원,의원,2015-11-30,,,2026-04-25 22:30:23,I,03,폐업,1245.66,2,0,2015-11-30 08:42:34,,1994-10-12,,서울특별시 용산구 동빙고동 7-14,119,진단검사의학과,의원,PHMA119943020033041100004,3020000,,,03,폐업,0,,,
박은주치과의원,치과의원,2023-03-23,200501.438200388,448015.480732844,2026-04-25 22:30:23,I,03,폐업,87.97,1,0,2023-03-23 14:28:30,,1994-10-17,140-894,서울특별시 용산구 한남동 703번지 1호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119943020033041100005,3020000,서울특별시 용산구 한남대로21길 9 (한남동),04401,03,폐업,0,2022-12-15,2023-03-22,
이규성한의원,한의원,2014-03-28,,,2026-04-25 22:30:23,I,03,폐업,59.25,1,0,2014-03-28 11:10:23,,1994-11-27,140-780,서울특별시 용산구 한강로3가 40-640,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119943020033041100007,3020000,,,03,폐업,0,,,
열린가정의원,의원,2015-03-17,,,2026-04-25 22:30:23,I,03,폐업,56.73,1,0,2015-03-17 13:53:38,,1995-01-12,,서울특별시 용산구 이촌동 203-1,101 110 111 113 114 122,"내과, 산부인과, 소아청소년과, 이비인후과, 피부과, 가정의학과",의원,PHMA119953020033041100002,3020000,,,03,폐업,0,,,
최경명치과의원,치과의원,2016-03-30,200319.06075632,448640.981454745,2026-04-25 22:30:23,I,03,폐업,218.54,2,0,2016-03-07 14:49:28,,1995-09-13,140-893,서울특별시 용산구 한남동 726번지 82호,401,치과,치과의원,PHMA119953020033041100008,3020000,서울특별시 용산구 한남대로 130 (한남동),04417,03,폐업,0,,,
마쯔야마의원,의원,2019-03-26,200455.14401596,447866.831310941,2026-04-25 22:30:23,I,03,폐업,35.38,2,0,2019-03-26 10:30:49,,1997-12-26,,서울특별시 용산구 한남동 633번지 3호 제일빌딩 5층 3호,101 108 111 114 115,"내과, 성형외과, 소아청소년과, 피부과, 비뇨의학과",의원,PHMA119973020033041100004,3020000,"서울특별시 용산구 대사관로 72, 제일빌딩 5층 3호 (한남동)",04402,03,폐업,0,,,
의료법인 자산의료재단 중앙의원,의원,2010-12-27,,,2026-04-25 22:30:23,I,03,폐업,270.54,2,0,2010-12-27 17:36:11,,1999-04-03,,서울특별시 용산구 효창동 5-99,101 105 111 113 114 115,"내과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과",의원,PHMA119993020033041100004,3020000,,,03,폐업,0,2010-04-21,2010-12-31,
이산부인과의원,의원,2010-01-06,,,2026-04-25 22:30:23,I,03,폐업,179.89,1,6,2010-01-06 17:17:51,,1999-05-31,,서울특별시 용산구 보광동 217-26,110 111,"산부인과, 소아청소년과",의원,PHMA119993020033041100010,3020000,,,03,폐업,6,,,
성모안과의원,의원,2014-08-25,,,2026-04-25 22:30:23,I,03,폐업,61.6,1,0,2014-08-25 17:43:34,,1999-06-09,,서울특별시 용산구 이촌동 302-52,112,안과,의원,PHMA119993020033041100011,3020000,,,03,폐업,0,,,
서정훈치과의원,치과의원,2021-01-27,197622.545093474,446384.74301469,2026-04-25 22:30:23,I,03,폐업,57.76,1,0,2021-01-27 15:16:39,,1999-06-26,140-724,서울특별시 용산구 이촌동 300번지 26호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119993020033041100013,3020000,서울특별시 용산구 이촌로 248 (이촌동),04426,03,폐업,0,,,
이레치과의원,치과의원,2010-12-31,197560.347326866,448936.165461139,2026-04-25 22:30:23,I,03,폐업,173.92,2,0,2010-12-31 15:23:09,,1999-06-26,140-160,서울특별시 용산구 남영동 81번지 3호 3층,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119993020033041100014,3020000,"서울특별시 용산구 한강대로80길 5 (남영동,3층)",,03,폐업,0,,,
유일정신과의원,의원,2010-10-29,,,2026-04-25 22:30:23,I,03,폐업,67.46,1,0,2010-10-29 14:24:06,,1999-08-03,,서울특별시 용산구 원효로2가 90-16 2층,102 103,"신경과, 정신건강의학과",의원,PHMA119993020033041100016,3020000,,,03,폐업,0,,,
윤정선한의원,한의원,2011-02-21,,,2026-04-25 22:30:23,I,03,폐업,102.3,1,0,2011-02-21 17:06:25,,2000-01-25,140-857,서울특별시 용산구 이태원2동 225-94,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120003020033041100001,3020000,,,03,폐업,0,,,
온누리한의원,한의원,2011-04-18,,,2026-04-25 22:30:24,I,03,폐업,70.76,1,0,2011-04-18 15:17:54,,2000-10-13,140-853,서울특별시 용산구 이촌동 300-23,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120003020033041100004,3020000,,,03,폐업,0,,,
이호심내과의원,의원,2024-04-01,199930.373273373,447254.189992318,2026-04-25 22:30:24,I,03,폐업,139.7,1,0,2024-03-14 09:28:04,,2000-12-13,,서울특별시 용산구 보광동 260번지 7호,101 111 113,"내과, 소아청소년과, 이비인후과",의원,PHMA120003020033041100010,3020000,"서울특별시 용산구 보광로 34 (보광동, 보광농협)",04415,03,폐업,0,,,
홍인한의원,한의원,2014-04-15,197955.818770494,449718.054471759,2026-04-25 22:30:24,I,03,폐업,167.58,1,0,2014-04-15 16:08:53,,2001-04-09,140-901,서울특별시 용산구 후암동 244번지 35호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120013020033041100003,3020000,서울특별시 용산구 후암로 42-1 (후암동),,03,폐업,0,,,
연세차산부인과의원,의원,2010-03-10,196549.89584221,448153.524398611,2026-04-25 22:30:24,I,03,폐업,176.17,1,0,2016-01-27 16:59:44,,2001-06-01,,서울특별시 용산구 원효로2가 84번지 10호,110,산부인과,의원,PHMA120013020033041100005,3020000,"서울특별시 용산구 원효로 171 (원효로2가, 신영빌딩)",04364,03,폐업,0,,,
래미안치과의원,치과의원,2009-06-30,,,2026-04-25 22:30:24,I,03,폐업,88.21,1,0,2009-07-01 08:52:35,,2001-08-20,140-070,서울특별시 용산구 도원동 4,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA120013020033041100009,3020000,,,03,폐업,0,,,
우리산부인과의원,의원,2016-10-20,196621.810302984,449898.051124054,2026-04-25 22:30:24,I,03,폐업,166.49,1,0,2016-10-20 18:00:39,,2002-09-11,,서울특별시 용산구 서계동 266번지 73호,110,산부인과,의원,PHMA120023020033041100006,3020000,"서울특별시 용산구 만리재로 134 (서계동, 파리바게뜨제과)",04305,03,폐업,0,,,
만리재신경외과의원,의원,2017-07-24,197425.47861329,449166.662964325,2026-04-25 22:30:24,I,03,폐업,160.92,1,0,2017-07-24 16:51:22,,2002-09-12,140-806,서울특별시 용산구 갈월동 69번지 3호,105 106 116 118 120,"정형외과, 신경외과, 영상의학과, 병리과, 재활의학과",의원,PHMA120023020033041100007,3020000,서울특별시 용산구 한강대로 297 (갈월동),04321,03,폐업,0,,,
뉴욕치과의원,치과의원,2009-12-29,,,2026-04-25 22:30:24,I,03,폐업,137.5,1,0,2009-12-29 11:54:27,,2002-09-13,140-011,서울특별시 용산구 한강로1가 215-5 의성빌딩 2층,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA120023020033041100009,3020000,,,03,폐업,0,,,
안드로김의원,의원,2023-01-01,197117.41843467,447527.338271365,2026-04-25 22:30:24,I,03,폐업,74.37,1,0,2022-12-29 16:33:23,,2002-11-13,,서울특별시 용산구 한강로2가 314번지 1호,114 115,"피부과, 비뇨의학과",의원,PHMA120023020033041100011,3020000,"서울특별시 용산구 한강대로 109, 707호 (한강로2가, 용성비즈텔)",04376,03,폐업,0,,,26780101
닥터윤한의원,한의원,2011-02-21,,,2026-04-25 22:30:24,I,03,폐업,132.9,1,0,2011-02-21 18:47:25,,2003-03-27,140-857,서울특별시 용산구 이태원2동 225-167 3층,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120033020033041100002,3020000,,,03,폐업,0,,,
효전한의원,한의원,2020-11-01,199531.991699117,448011.065018984,2026-04-25 22:30:24,I,03,폐업,123.41,1,0,2020-10-29 10:38:58,,2003-04-25,140-858,서울특별시 용산구 이태원동 127번지 1호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120033020033041100003,3020000,서울특별시 용산구 우사단로 47 (이태원동),04406,03,폐업,0,,,
예지당한의원,한의원,2014-09-24,196542.935666666,448603.573333334,2026-04-25 22:30:24,I,03,폐업,153.11,1,0,2014-09-24 11:26:50,,2003-05-26,140-896,서울특별시 용산구 효창동 5번지 121호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120033020033041100004,3020000,서울특별시 용산구 효창원로 132 (효창동),,03,폐업,0,,,
소망정형외과의원,의원,2020-01-08,197988.952276492,449398.313529454,2026-04-25 22:30:24,I,03,폐업,105.5,2,0,2020-01-22 17:47:13,,2003-06-05,,서울특별시 용산구 후암동 204번지,101 105 106 115 120,"내과, 정형외과, 신경외과, 비뇨의학과, 재활의학과",의원,PHMA120033020033041100005,3020000,"서울특별시 용산구 후암로 9-1 (후암동, 최내과)",04335,03,폐업,0,2019-12-01,2019-12-31,02-778-8770
우리이비인후과의원,의원,2020-09-01,196534.284541859,448086.811978621,2026-04-25 22:30:24,I,03,폐업,66.61,1,0,2020-08-26 11:24:34,,2003-10-06,,서울특별시 용산구 원효로2가 94번지 2호 원효아파트,113,이비인후과,의원,PHMA120033020033041100008,3020000,"서울특별시 용산구 원효로 166, 2층 211호 (원효로2가, 원효아파트)",04366,03,폐업,0,,,02-704-1588
평강한의원,한의원,2011-09-26,,,2026-04-25 22:30:24,I,03,폐업,89.51,1,0,2011-09-26 17:22:01,,2003-11-03,140-902,"서울특별시 용산구 후암동 415-47,59",301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120033020033041100009,3020000,,,03,폐업,0,,,
세상에서하나뿐인치과의원,치과의원,2011-03-29,,,2026-04-25 22:30:24,I,03,폐업,81.95,1,0,2011-03-29 10:39:53,,2003-12-23,140-880,서울특별시 용산구 한강로3가  40-93,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA120033020033041100012,3020000,,,03,폐업,0,,,
이촌연세이비인후과의원,의원,2014-08-11,,,2026-04-25 22:30:24,I,03,폐업,65.76,1,0,2014-08-08 17:04:46,,2004-04-07,,서울특별시 용산구 이촌동302-52 LG프라자 205호,113 101 105 111 114 104 108 112 122,"내과, 외과, 정형외과, 성형외과, 소아청소년과, 안과, 이비인후과, 피부과, 가정의학과",의원,PHMA120043020033041100005,3020000,,,03,폐업,0,,,
고&박치과의원,치과의원,2013-09-10,,,2026-04-25 22:30:24,I,03,폐업,49.5,2,0,2013-09-10 11:32:30,,2004-04-14,140-026,서울특별시 용산구 용산동6가 69-167,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA120043020033041100006,3020000,,,03,폐업,0,,,
경희온정한의원,한의원,2014-03-17,,,2026-04-25 22:30:24,I,03,폐업,131.1,1,0,2014-03-17 13:20:18,,2004-06-17,140-240,서울특별시 용산구 용산동6가69-167 신동아쇼핑센터2층,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120043020033041100010,3020000,,,03,폐업,0,,,
마리의원,의원,2017-01-03,200697.42588055,447925.577361706,2026-04-25 22:30:24,I,03,폐업,306.8,1,0,2017-01-03 12:58:13,,2004-07-09,140-884,"서울특별시 용산구 한남동 258번지 현대리버티하우스 302호, 303호",101 111 114,"내과, 소아청소년과, 피부과",의원,PHMA120043020033041100012,3020000,서울특별시 용산구 독서당로 70 (한남동),04420,03,폐업,0,2016-08-31,2017-08-30,
