사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
동양화인덴탈,2013-04-26,,,2026-04-28 22:31:59,I,03,폐업,2013-04-26 17:04:57,,2005-08-05,,"서울특별시 중구 남대문로*가 **-*, *층",PHMG120053010033047000050,3010000,,,03,폐업,,,,
지에스25 세운유니버스점,,199367.549270744,451152.070282241,2026-04-28 22:32:46,I,13,영업중,2024-08-20 09:31:16,,2024-08-19,,서울특별시 중구 충무로*가 ***,PHMG120243010033047000057,3010000,"서울특별시 중구 충무로*길 *, ***,***,***호 (충무로*가)",04556,01,영업/정상,,,,
진무역상사,2013-06-25,197462.198757043,450878.211786274,2026-04-28 22:32:13,I,03,폐업,2013-06-25 16:23:46,,2010-07-19,100-130,서울특별시 중구 순화동 ***번지 포스코더샵 A동 ***-*B,PHMG120103010033047000071,3010000,"서울특별시 중구 칠패로 ** (순화동,포스코더샵 A동 ***-*B)",,03,폐업,,,,
덴탈써플라이,2020-12-21,197476.733641931,450632.159070388,2026-04-28 22:32:21,I,03,폐업,2020-12-21 16:09:53,,2011-10-10,100-161,서울특별시 중구 봉래동*가 ***번지 *호 일신빌딩 ***호,PHMG120113010033047000078,3010000,"서울특별시 중구 통일로 **, ***호 (봉래동*가, 일신빌딩)",04512,03,폐업,,,,
위너스덴탈,,197462.198757043,450878.211786274,2026-04-28 22:32:34,I,13,영업중,2025-04-14 14:57:38,,2016-05-19,,서울특별시 중구 순화동 *** 순화동더샵,PHMG120163010033047000045,3010000,"서울특별시 중구 칠패로 **, 순화동더샵 제지*층 제비***호 (순화동)",04511,01,영업/정상,,,070-7723-2875,
스마트피앤디,,199382.503213245,451508.557819931,2026-04-28 22:32:44,I,13,영업중,2022-05-30 11:03:39,,2022-05-26,,서울특별시 중구 초동 *-*,PHMG120223010033047000160,3010000,"서울특별시 중구 을지로**길 *, ***호 (초동)",04549,01,영업/정상,,,02-2285-6777,
비전옵틱스,,197640.111186017,450771.482006185,2026-04-28 22:32:34,I,15,전출,2018-04-17 13:20:28,,2016-02-18,,서울특별시 중구 남대문로*가 *번지 *호,PHMG120163010033047000017,3010000,"서울특별시 중구 세종대로 **, *층 (남대문로*가)",04527,05,제외/삭제/전출,,,,
레드클럽 명동점,2012-05-29,198508.518885083,451024.974060896,2026-04-28 22:32:05,I,03,폐업,2012-05-29 19:00:02,,2008-04-08,100-011,서울특별시 중구 충무로*가 **번지 *호 *층,PHMG120083010033047000025,3010000,"서울특별시 중구 명동*나길 ** (충무로*가,*층)",,03,폐업,,,,
지영이네,,197982.996630014,450791.073856769,2026-04-28 22:31:58,I,13,영업중,2009-02-09 10:53:48,,2004-07-14,100-804,서울특별시 중구 남창동 **번지 *호 대도상가 E동 지하가-*호,PHMG120043010033047000013,3010000,"서울특별시 중구 남대문시장*길 **, E동 지하가-*호 (남창동, 대도상가)",04529,01,영업/정상,,,,
라이프 서포트 스테이션(LSS),2014-07-04,,,2026-04-28 22:32:21,I,03,폐업,2014-07-07 10:03:33,,2011-06-24,100-031,서울특별시 중구 저동*가 **번지 *호 대길빌딩***호,PHMG120113010033047000050,3010000,"서울특별시 중구 명동길 **, ***호 (저동*가, 대길빌딩)",,03,폐업,,,,
씨제이올리브영(주) 명동점,,198561.881070383,451199.847888854,2026-04-28 22:32:45,I,13,영업중,2023-08-04 09:19:27,,2023-08-03,,서울특별시 중구 명동*가 **-*,PHMG120233010033047000066,3010000,"서울특별시 중구 명동*길 **, *,*,*층 (명동*가)",04536,01,영업/정상,,,,
쉔픽스,2009-04-28,200949.287076337,450236.833538246,2026-04-28 22:32:06,I,03,폐업,2009-04-29 09:04:45,,2008-10-24,100-830,서울특별시 중구 신당동 ***번지 *호 지층,PHMG120083010033047000085,3010000,"서울특별시 중구 동호로**길 * (신당동,지층)",,03,폐업,,,22379253,
(주)신한존,2015-09-03,198811.850090714,451045.678036476,2026-04-28 22:32:30,I,24,직권폐업,2015-09-03 14:33:44,,2015-01-28,100-861,서울특별시 중구 충무로*가 **번지 *호 뉴서울빌딩 *층,PHMG120153010033047000014,3010000,"서울특별시 중구 퇴계로 ***-*, *층 (충무로*가, 뉴서울빌딩)",04537,04,취소/말소/만료/정지/중지,,,02-779-0092,
벨덴탈,2016-11-25,197190.303714667,450612.910470095,2026-04-28 22:32:35,I,03,폐업,2016-11-25 11:00:08,,2016-11-14,,서울특별시 중구 중림동 ***번지 **호 *층,PHMG120163010033047000091,3010000,"서울특별시 중구 청파로 ***-*, *층 (중림동)",04507,03,폐업,,,,
진 메디칼,,366007.40829433,476321.593161419,2026-04-28 03:03:03,U,15,전출,2026-04-27 13:43:46,,2021-12-15,,강원특별자치도 강릉시 교동 ****-*,PHMG120214200028047000080,4201000,"강원특별자치도 강릉시 경포로 ***, ***호 (교동)",25493,05,제외/삭제/전출,,,,17.41
에이치디아이,2014-08-20,197524.718268277,450626.548447615,2026-04-28 22:32:20,I,03,폐업,2014-08-21 10:40:34,,2011-04-14,100-095,서울특별시 중구 남대문로*가 **번지 **호,PHMG120113010033047000023,3010000,서울특별시 중구 세종대로 * (남대문로*가),,03,폐업,,,,
(주)거한인터브릿지,2011-12-30,196948.933328771,450906.177832843,2026-04-28 22:32:10,I,03,폐업,2012-01-19 17:55:27,,2009-07-30,100-953,서울특별시 중구 중림동 ***번지 디오센터 ***호,PHMG120093010033047000052,3010000,"서울특별시 중구 서소문로 ** (중림동,디오센터 ***호)",,03,폐업,,,21280323,
주식회사 스카이메드코리아 서울지점,2021-08-24,200015.499568016,451485.349952584,2026-04-28 22:32:40,I,03,폐업,2021-08-24 17:58:16,,2020-09-17,,서울특별시 중구 오장동 ***-* 센트마상가,PHMG120203010033047000088,3010000,"서울특별시 중구 동호로**길 **, 센트마상가 **** 에이-***호 (오장동)",04547,03,폐업,,,02-2244-2250,
기백덴탈,,197904.508749923,450628.096873687,2026-04-28 22:32:24,I,13,영업중,2015-06-22 11:58:21,,2013-04-03,100-805,서울특별시 중구 남창동 **번지 *호 ***호,PHMG120133010033047000022,3010000,"서울특별시 중구 퇴계로 **-*, ***호 (남창동)",04528,01,영업/정상,,,02-318-2875,
주식회사 유라이크,2022-07-12,198522.809681069,451211.074477926,2026-04-28 22:32:39,I,03,폐업,2022-07-12 14:25:27,,2019-11-13,,서울특별시 중구 명동*가 **-**,PHMG120193010033047000091,3010000,"서울특별시 중구 명동*길 *, *층,*층,*층,*층 (명동*가)",04536,03,폐업,,,02-3789-9500,
(주)디지털타임스,,197164.226466038,451647.674131454,2026-04-28 22:32:00,I,13,영업중,2019-08-26 16:52:58,,2005-12-21,100-723,서울특별시 중구 충정로*가 **번지,PHMG120053010033047000071,3010000,서울특별시 중구 새문안로 ** (충정로*가),04516,01,영업/정상,,,02-3701-5578,
굿·스피덴트,2013-05-16,197462.198757043,450878.211786274,2026-04-28 22:32:17,I,03,폐업,2013-05-16 18:46:53,,2010-11-24,100-130,서울특별시 중구 순화동 ***번지 포스코더샵 B동 ***호,PHMG120103010033047000115,3010000,"서울특별시 중구 칠패로 **, B동 ***호 (순화동,포스코더샵)",,03,폐업,,,,
(주)플라잉티엠,2013-09-03,197901.591381115,450558.528407008,2026-04-28 22:32:24,I,03,폐업,2013-09-03 17:11:03,,2013-03-05,100-806,서울특별시 중구 남창동 ***번지 *호 삼선빌딩  ***호,PHMG120133010033047000018,3010000,"서울특별시 중구 퇴계로 ** (남창동, 삼선빌딩 ***호)",,03,폐업,,,,
(주)한미지엠씨,,197876.042588141,451080.109295385,2026-04-28 22:32:35,I,13,영업중,2016-08-02 16:52:06,,2016-08-02,,서울특별시 중구 태평로*가 **번지 *호,PHMG120163010033047000063,3010000,"서울특별시 중구 세종대로 **, *층 ***-에이호 (태평로*가, 해남빌딩)",04526,01,영업/정상,,,02-752-2046,
씨제이올리브영(주) 충무로역점,,199617.171294547,451027.959117263,2026-04-28 22:32:01,I,13,영업중,2023-02-17 09:35:34,,2006-05-16,,서울특별시 중구 필동*가 **-*,PHMG120063010033047000022,3010000,"서울특별시 중구 퇴계로 ***, *층 (필동*가)",04624,01,영업/정상,,,02-2265-5272,
부츠(Boots) 명동점,2018-11-06,198582.339705178,451302.602871612,2026-04-28 22:32:36,I,03,폐업,2018-11-06 14:29:50,,2017-07-27,,서울특별시 중구 명동*가 **번지 *호 *층,PHMG120173010033047000059,3010000,"서울특별시 중구 명동길 **, *층 (명동*가, 신한은행)",04534,03,폐업,,,02-779-7046,440.66
삼공플러스(주),,201020.297782821,450225.423417253,2026-04-28 22:32:34,I,13,영업중,2016-05-12 17:13:36,,2016-05-12,,,PHMG120163010033047000042,3010000,"서울특별시 중구 동호로**길 *-**, ***호 (신당동, 성원빌딩)",04594,01,영업/정상,,,070-5096-6012,
서원라이프,2011-11-30,200774.527564378,450138.913387478,2026-04-28 22:32:20,I,03,폐업,2013-04-06 15:42:47,,2011-04-26,100-827,서울특별시 중구 신당*동 ***번지 **호  *층,PHMG120113010033047000030,3010000,"서울특별시 중구 다산로 *** (신당동,*층)",,03,폐업,,,22311301,
(주)시니어허브(타임브리지 을지로점),2018-01-16,198487.152227446,451529.256218314,2026-04-28 22:32:30,I,03,폐업,2018-01-16 09:18:10,,2015-01-26,100-844,서울특별시 중구 을지로*가 *번지 *호 을지스타몰 을특**호,PHMG120153010033047000011,3010000,"서울특별시 중구 을지로 지하 **, 을특**호 (을지로*가, 을지스타몰)",04542,03,폐업,,,02-2269-7101,
아뜰리에 7,2022-08-17,198638.258243632,451096.474823479,2026-04-28 22:32:25,I,03,폐업,2022-08-17 19:18:14,,2013-12-17,100-809,서울특별시 중구 명동*가 **번지 *호 *층,PHMG120133010033047000075,3010000,"서울특별시 중구 명동*길 **-*, *층 (명동*가)",04536,03,폐업,,,02-775-2005,
(주)싸이버스카이,2018-06-25,198274.236324259,451198.510083723,2026-04-28 22:32:27,I,03,폐업,2018-06-25 11:19:25,,2014-05-21,100-070,서울특별시 중구 소공동 **번지 *호 한진빌딩본관 ***호,PHMG120143010033047000036,3010000,"서울특별시 중구 남대문로 **, ***호 (소공동, 한진빌딩본관)",04532,03,폐업,,,02-756-5760,
강서샤인덴탈,,197175.200250032,450823.319779918,2026-04-28 22:32:11,I,13,영업중,2017-09-08 09:03:30,,2009-11-16,,서울특별시 중구 중림동 **번지 *호 *층,PHMG120093010033047000084,3010000,"서울특별시 중구 청파로 ***, *층 (중림동, 신흥빌딩)",04510,01,영업/정상,,,02-523-0302,
(주)디에스,,201833.693283735,451444.461211304,2026-04-28 22:32:45,I,13,영업중,2025-10-29 13:12:42,,2022-09-29,,서울특별시 중구 신당동 ***-* 신영빌딩,PHMG120223010033047000228,3010000,"서울특별시 중구 퇴계로 ***, 신영빌딩 *층 *호 *번 (신당동)",04578,01,영업/정상,,,070-8955-4989,
와이엘엔컴퍼니 주식회사,2022-08-09,200666.824667204,451718.542787454,2026-04-28 22:32:39,I,03,폐업,2022-08-09 18:30:33,,2020-07-01,,서울특별시 중구 을지로*가 **-**,PHMG120203010033047000065,3010000,"서울특별시 중구 장충단로**길 *, *층 (을지로*가)",04564,03,폐업,,,,
라비코리아,2024-06-07,200966.92407088,450396.440048565,2026-04-28 22:32:38,I,03,폐업,2024-06-07 13:22:41,,2018-12-27,,서울특별시 중구 신당동 ***-**,PHMG120183010033047000087,3010000,"서울특별시 중구 다산로**길 *, ***호 (신당동)",04590,03,폐업,,,,
아리슈서울뷰티아카데미,2019-12-30,198534.145906809,451403.474635446,2026-04-28 22:32:31,I,24,직권폐업,2019-12-31 15:58:06,,2015-07-22,100-845,서울특별시 중구 을지로*가 ***번지 *호 진주빌딩 *층,PHMG120153010033047000100,3010000,"서울특별시 중구 명동*길 **, *층 (을지로*가, 진주빌딩)",04534,04,취소/말소/만료/정지/중지,,,02-9564-7114,
자이언츠-HKJ,2011-06-09,201833.693283735,451444.461211304,2026-04-28 22:32:20,I,03,폐업,2011-06-09 14:09:25,,2011-03-11,100-819,서울특별시 중구 신당*동 ***번지 *호 지층,PHMG120113010033047000017,3010000,"서울특별시 중구 퇴계로 *** (신당동,지층)",,03,폐업,,,22339195,
제이엠티(주)지점,,201153.270333178,450614.328368754,2026-04-28 22:32:31,I,15,전출,2016-12-12 11:03:56,,2015-07-14,100-826,서울특별시 중구 신당동 ***번지 **호 청구빌딩 ***호,PHMG120153010033047000094,3010000,"서울특별시 중구 다산로**길 **, ***호 (신당동, 청구빌딩)",04589,05,제외/삭제/전출,,,,
(주)오투옥서스,2017-06-09,200612.848675101,451299.379284015,2026-04-28 22:32:21,I,03,폐업,2017-06-12 08:42:09,,2011-10-05,,서울특별시 중구 광희동*가 ***번지 **층,PHMG120113010033047000076,3010000,"서울특별시 중구 퇴계로 ***, **층 (광희동*가, 성우빌딩)",04614,03,폐업,,,22850552,
(주)코리아세븐 롯데시티호텔명동점,2019-10-15,198876.925292257,451628.15318809,2026-04-28 22:32:34,I,03,폐업,2019-10-17 18:18:24,,2016-01-14,,서울특별시 중구 장교동 **번지 *호,PHMG120163010033047000007,3010000,"서울특별시 중구 삼일대로 ***, *층 (장교동)",04542,03,폐업,,,,
신성치과기재㈜,,197175.200250032,450823.319779918,2026-04-28 22:31:56,I,13,영업중,2024-04-26 16:53:30,,1985-01-12,,서울특별시 중구 중림동 **-* 신흥빌딩,PHMG119853010033047000001,3010000,"서울특별시 중구 청파로 ***, 신흥빌딩 *층 (중림동)",04510,01,영업/정상,,,,
세신티에스,2018-01-26,197462.198757043,450878.211786274,2026-04-28 22:32:06,I,03,폐업,2018-01-26 14:27:31,,2008-10-22,100-130,서울특별시 중구 순화동 ***번지 포스코더샵  A동 ***-*호,PHMG120083010033047000078,3010000,"서울특별시 중구 칠패로 **, A동 ***-*호 (순화동, 포스코더샵 )",04511,03,폐업,,,,
선덴탈,,197462.198757043,450878.211786274,2026-04-28 22:32:44,I,13,영업중,2022-06-30 10:22:26,,2022-06-28,,서울특별시 중구 순화동 ***,PHMG120223010033047000172,3010000,"서울특별시 중구 칠패로 **, B동 ***호 (순화동)",04511,01,영업/정상,,,032-672-0355,
제일의료기,2015-03-26,200672.754373386,450923.050241489,2026-04-28 22:32:27,I,03,폐업,2015-03-26 19:19:44,,2014-07-28,100-391,서울특별시 중구 장충동*가 **번지 *호 태영이너스  B***호,PHMG120143010033047000049,3010000,"서울특별시 중구 장충단로*길 **, 지하*층 B***호 (장충동*가, 태영이너스)",,03,폐업,,,02-2278-2560,
GS25중구디오빌점,2019-06-17,197034.02843741,450305.644873169,2026-04-28 22:32:31,I,03,폐업,2019-06-17 17:48:43,,2015-05-04,100-371,서울특별시 중구 만리동*가 **번지 *호 서울역디오빌 *층,PHMG120153010033047000055,3010000,"서울특별시 중구 만리재로 ***, *층 (만리동*가, 서울역디오빌)",04501,03,폐업,,,,
(주)사라센인터내셔널 본점,2023-09-27,197846.447882692,450872.588923725,2026-04-28 22:32:28,I,03,폐업,2023-09-27 16:07:59,,2014-09-23,,서울특별시 중구 남대문로*가 **번지 **호 *층,PHMG120143010033047000059,3010000,"서울특별시 중구 남대문시장길 *, *층 (남대문로*가)",04528,03,폐업,,,1588-1393,
캔들바보,2018-06-25,200002.952736046,451823.532462914,2026-04-28 22:32:34,I,03,폐업,2018-06-25 17:36:34,,2016-01-29,,,PHMG120163010033047000011,3010000,"서울특별시 중구 동호로**길 **, A동 *층 ***호 (방산동, 방산종합시장)",04546,03,폐업,,,,
필립광학,2015-06-22,197692.601616889,450709.793991215,2026-04-28 22:32:02,I,03,폐업,2015-06-22 10:01:51,,2007-01-31,100-800,서울특별시 중구 남대문로*가 **번지 *호  남문빌딩 ***호,PHMG120073010033047000004,3010000,"서울특별시 중구 세종대로*나길 ** (남대문로*가, 남문빌딩 ***호)",,03,폐업,,,,
(주)코리아세븐 무교YG타워점,2019-10-15,198193.534402364,451650.955791238,2026-04-28 22:32:28,I,03,폐업,2019-10-17 18:19:06,,2014-10-31,100-180,서울특별시 중구 다동 ***번지 ***호,PHMG120143010033047000090,3010000,"서울특별시 중구 남대문로*길 **, *층 ***호 (다동)",04522,03,폐업,,,,
늘푸른광학,2015-07-16,197793.233147578,450624.997494523,2026-04-28 22:31:59,I,03,폐업,2015-07-16 15:45:16,,2005-06-22,100-802,서울특별시 중구 남대문로*가 ***번지 *층,PHMG120053010033047000032,3010000,"서울특별시 중구 소월로 **-*, *층 (남대문로*가)",,03,폐업,,,,
다판다,2022-01-20,200348.432662948,451494.626091411,2026-04-28 22:32:40,I,03,폐업,2022-01-20 18:18:59,,2020-09-17,,서울특별시 중구 을지로*가 **,PHMG120203010033047000089,3010000,"서울특별시 중구 을지로**길 **-*, ****호 (을지로*가)",04561,03,폐업,,,,
가야기술,2023-07-04,197566.862311117,451100.772883934,2026-04-28 22:32:38,I,03,폐업,2023-07-04 10:22:17,,2019-02-26,,서울특별시 중구 서소문동 ***번지 **호 동화주차빌딩 **층 ****호,PHMG120193010033047000013,3010000,"서울특별시 중구 세종대로*길 **, 동화주차빌딩 **층 ****호 (서소문동)",04513,03,폐업,,,02-383-1965,
(주)해피세븐,2012-03-30,201515.053567979,451247.04328381,2026-04-28 22:32:15,I,03,폐업,2012-03-30 15:07:12,,2010-09-24,100-831,서울특별시 중구 신당*동 **번지 ***호 *층,PHMG120103010033047000095,3010000,"서울특별시 중구 다산로**길 ** (신당동,*층)",,03,폐업,,,,
그레꼬쏘,2017-10-10,197633.853821626,450220.266556941,2026-04-28 22:32:35,I,03,폐업,2017-10-10 15:26:56,,2016-10-26,,서울특별시 중구 남대문로*가 ***번지 **층,PHMG120163010033047000086,3010000,"서울특별시 중구 후암로 ***, **층 (남대문로*가, 서울시티타워빌딩)",04637,03,폐업,,,070-4063-5216,
체다카,2015-06-08,200912.763957462,450078.855010335,2026-04-28 22:32:29,I,03,폐업,2015-06-08 15:03:22,,2014-12-02,100-840,서울특별시 중구 신당동 ***번지 **호 임마누엘빌딩 ***호,PHMG120143010033047000162,3010000,"서울특별시 중구 동호로*길 **, ***호 (신당동, 임마누엘빌딩)",,03,폐업,,,02-937-6765,
바디라인 스포츠,2009-07-08,,,2026-04-28 22:32:00,I,03,폐업,2009-07-08 17:51:26,,2005-10-17,,서울특별시 중구 을지로*가 *번지(우량),PHMG120053010033047000064,3010000,,,03,폐업,,,,
조타닷컴,2025-12-22,200613.510297669,451817.515366883,2026-04-28 22:32:45,I,24,직권폐업,2025-12-22 14:53:38,,2022-12-05,,서울특별시 중구 을지로*가 **-*,PHMG120223010033047000252,3010000,"서울특별시 중구 장충단로**길 **, **층 E-*/*호 (을지로*가)",04563,04,취소/말소/만료/정지/중지,,,02-937-4556,
(주)코리아세븐 무교YG타워점,2022-12-06,198193.534402364,451650.955791238,2026-04-28 22:32:42,I,03,폐업,2022-12-06 18:48:17,,2021-05-14,,서울특별시 중구 다동 *** 센터플레이스(Center Place),PHMG120213010033047000099,3010000,"서울특별시 중구 남대문로*길 **, 센터플레이스(Center Place) ***호 (다동)",04522,03,폐업,,,,
웰릭스렌탈(주),,197620.648923884,450919.874344114,2026-04-28 22:32:45,I,15,전출,2023-10-06 10:38:47,,2017-07-12,,서울특별시 중구 남대문로*가 **,PHMG120223010033047000231,3010000,"서울특별시 중구 세종대로 **, *층 (남대문로*가)",04513,05,제외/삭제/전출,,,02-6119-7661,
(주)코리아세븐충정로2호점,2019-10-15,196864.942838297,450649.69804319,2026-04-28 22:32:28,I,03,폐업,2019-10-17 18:12:28,,2014-10-31,100-727,서울특별시 중구 중림동 ***번지 삼성사이버아파트 제*상가동 ***호,PHMG120143010033047000085,3010000,"서울특별시 중구 중림로 **, ***호 (중림동, 삼성사이버아파트 제*상가동)",04502,03,폐업,,,,
엔에스 트레이딩,,201344.960396511,450987.248651126,2026-04-28 22:32:44,I,13,영업중,2022-02-02 15:16:15,,2022-01-28,,서울특별시 중구 신당동 ***-***,PHMG120223010033047000015,3010000,"서울특별시 중구 다산로**길 **-*, *층 (신당동)",04586,01,영업/정상,,,,
유피스판매(주),,196954.724406179,450307.274146843,2026-04-28 22:32:25,I,13,영업중,2024-05-17 15:01:05,,2013-04-04,,서울특별시 중구 만리동*가 **번지 *호,PHMG120133010033047000077,3010000,"서울특별시 중구 만리재로 ***, ***동 ****호 (만리동*가, KCC 파크타운)",04501,01,영업/정상,,,,
랩스토리,2024-06-18,201273.694367641,451207.31987784,2026-04-28 22:32:38,I,03,폐업,2024-06-18 14:36:51,,2019-04-01,,서울특별시 중구 신당동 ***번지 **호 신당빌딩 ***호,PHMG120193010033047000020,3010000,"서울특별시 중구 다산로 ***, 신당빌딩 ***호 (신당동)",04611,03,폐업,,,,
세종덴탈,,197496.278433783,450639.553123252,2026-04-28 22:31:57,I,15,전출,2023-07-04 10:08:29,,2002-06-10,,서울특별시 중구 봉래동*가 ***번지 *호 *층,PHMG120023010033047000012,3010000,"서울특별시 중구 통일로 **-*, *층 (봉래동*가)",04512,05,제외/삭제/전출,,,02-779-1863,
(주)에덴,,200728.901937116,450458.827645493,2026-04-28 22:32:11,I,13,영업중,2024-04-26 16:39:56,,2009-10-22,,서울특별시 중구 신당동 ***-* 태우,PHMG120093010033047000072,3010000,"서울특별시 중구 동호로 ***, 태우 *층 (신당동)",04598,01,영업/정상,,,02-2254-2845,
씨지코리아,,199129.633376163,451200.314163047,2026-04-28 22:32:35,I,15,전출,2022-02-14 10:35:51,,2017-01-18,,서울특별시 중구 충무로*가 **번지 *호 *층,PHMG120173010033047000009,3010000,"서울특별시 중구 수표로 **-**, *층 (충무로*가)",04555,05,제외/삭제/전출,,,02-713-5340,
영신메디칼,2014-05-26,201919.794665322,451656.473360378,2026-04-28 22:31:59,I,03,폐업,2014-05-26 15:00:34,,2005-03-14,100-870,서울특별시 중구 황학동 ***번지 ***호,PHMG120053010033047000017,3010000,"서울특별시 중구 난계로**길 **, ***호 (황학동)",,03,폐업,,,,
(주)남대문한알,,198005.229637654,450571.565067335,2026-04-28 22:32:11,I,13,영업중,2026-01-22 14:30:57,,2009-10-26,,서울특별시 중구 남창동 ***-*,PHMG120093010033047000075,3010000,"서울특별시 중구 퇴계로*길 **, *층 (남창동)",04635,01,영업/정상,,,02-777-8151,
황해통상주식회사,2026-04-27,186669.272527566,384258.773431593,2026-04-28 03:03:03,U,03,폐업,2026-04-27 17:05:58,,2021-11-17,,경기도 평택시 포승읍 만호리 *** 장미빌딩,PHMG120213910168047000126,3910000,"경기도 평택시 포승읍 평택항만길 **, 장미빌딩 ***호",17962,03,폐업,,,,33
(주)코리아메디케어,,200612.848675101,451299.379284015,2026-04-28 22:32:44,I,15,전출,2026-03-24 10:48:58,,2014-03-05,,서울특별시 중구 광희동*가 ***,PHMG120223010033047000094,3010000,"서울특별시 중구 퇴계로 ***, *층 (광희동*가)",04614,05,제외/삭제/전출,,,02-2052-8200,
한미물자,2024-06-17,201852.931048042,450855.26449377,2026-04-28 22:32:43,I,03,폐업,2024-06-17 14:38:42,,2021-12-16,,서울특별시 중구 신당동 ***,PHMG120213010033047000177,3010000,"서울특별시 중구 다산로**길 ***, 상가동 ***호 (신당동, 현대아파트)",04582,03,폐업,,,02-2231-0006,
지에스25 황학점,,201823.908977364,452076.818664092,2026-04-28 22:32:45,I,13,영업중,2023-01-02 18:11:16,,2023-01-02,,서울특별시 중구 황학동 ****,PHMG120233010033047000002,3010000,"서울특별시 중구 청계천로 ***, 메가몰동 *층 ****호 (황학동, 롯데캐슬베네치아)",04572,01,영업/정상,,,02-2048-6625,
슬리피,,197249.357745588,451208.560235989,2026-04-28 22:32:45,I,13,영업중,2026-03-30 16:24:06,,2024-02-05,,서울특별시 중구 순화동 *** 바비엥*,PHMG120243010033047000009,3010000,"서울특별시 중구 통일로 **, 바비엥* ****호 (순화동)",04517,01,영업/정상,,,,
