"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"11","의료기기판매(임대)업","01_02_03_P","3900000","PHMG120263900028047000007","2012-08-20","","01","영업/정상","13","영업중","","","","","","","","경기도 광명시 하안동 *** 하안*단지고층주공아파트","경기도 광명시 가림로 **, ***동 *층 ***호 (하안동, 하안*단지고층주공아파트)","14258","청운메디칼","2026-01-23 17:05:17","I","2026-01-25 00:20:02","","187982.375449371","440314.997804588","","","","",
"12","의료기기판매(임대)업","01_02_03_P","3900000","PHMG120263900028047000008","2017-02-07","","04","취소/말소/만료/정지/중지","24","직권폐업","2026-01-23","","","","031-687-8783","","","경기도 광명시 일직동 ***","경기도 광명시 일직로 **, c동 ***호 (일직동)","14348","주식회사 모은지앤피","2026-01-23 17:41:30","I","2026-01-25 00:20:02","","190124.458858418","435332.556961729","","","43","",
"13","의료기기판매(임대)업","01_02_03_P","3560000","PHMG120263560021047000011","2024-12-23","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 청라동 **-* 청라 큐브시그니처 *차 오피스텔","인천광역시 서구 청라한내로**번길 **, 청라 큐브시그니처 *차 오피스텔 ***호 (청라동)","22758","메디플랜","2026-01-23 16:56:01","I","2026-01-25 00:20:02","","167139.636334067","447818.775","","","","",
"14","의료기기판매(임대)업","01_02_03_P","3420000","PHMG120263420023047000011","2012-05-11","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 봉무동 ****-*","대구광역시 동구 팔공로**길 **-*, ***호 (봉무동)","41026","어연마루","2026-01-23 10:52:39","I","2026-01-25 00:20:02","","347901.826943364","270379.32027119","","","152","",
"15","의료기기판매(임대)업","01_02_03_P","3420000","PHMG120263420023047000012","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 신암동 ****-**","대구광역시 동구 신성로 **, *층 (신암동)","41205","지에스(GS)25 신암르네상스점","2026-01-23 10:54:20","I","2026-01-25 00:20:02","","345300.2743042","265350.196567116","","","86","",
"16","의료기기판매(임대)업","01_02_03_P","3650000","PHMG120263650023047000004","2017-10-16","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 용두동 ***-* 코스모스악기빌딩","대전광역시 중구 계룡로 ***, 코스모스악기빌딩 *층 (용두동)","34827","주식회사 오엠알오","2026-01-23 14:44:10","I","2026-01-25 00:20:02","","236188.692867501","314424.6439942","","","","",
"17","의료기기판매(임대)업","01_02_03_P","3780000","PHMG120263780064047000013","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 분당구 서현동 ***-* 서현현대프라자","경기도 성남시 분당구 황새울로***번길 **, 서현현대프라자 ***호 (서현동)","13591","꼼꼼뷰티","2026-01-23 09:31:13","I","2026-01-25 00:20:02","","210970.99430415","431434.454601963","","","","",
"18","의료기기판매(임대)업","01_02_03_P","3910000","PHMG120263910165047000003","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 진위면 가곡리 ***-**","경기도 평택시 진위면 가곡*길 *-**, ***호","17713","주식회사 피앤피","2026-01-23 15:32:35","I","2026-01-25 00:20:02","","205862.437366816","401958.940829268","","","65.01","",
"19","의료기기판매(임대)업","01_02_03_P","3350000","PHMG120263350024047000004","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","부산광역시 금정구 청룡동 *** 경동아파트","부산광역시 금정구 청룡예전로 ***, 경동아파트 ***,***호 (청룡동)","46201","JH메디칼","2026-01-23 16:17:35","I","2026-01-25 00:20:02","","389702.587979741","199770.754141571","","","","",
"20","의료기기판매(임대)업","01_02_03_P","3520000","PHMG120263520019047000011","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 **-*","인천광역시 연수구 하모니로***번길 **, *층 ***-사**호 (송도동)","22011","에스제이메디칼","2026-01-23 15:34:29","I","2026-01-25 00:20:02","","168123.374869713","431284.384909565","","","","",
"21","의료기기판매(임대)업","01_02_03_P","3690000","PHMG120263690018047000001","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","울산광역시 중구 남외동 ***-*","울산광역시 중구 남외*길 **, *층 ***호 (남외동)","44496","양신파마","2026-01-23 13:19:02","I","2026-01-25 00:20:02","","413002.124894769","231908.757914384","","","10.9","",
"22","의료기기판매(임대)업","01_02_03_P","3020000","PHMG120263020033047000004","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 서계동 **-*** 현대오피스","서울특별시 용산구 청파로**가길 **, 현대오피스 ***호 (서계동)","04303","제이디메드","2026-01-23 10:51:49","I","2026-01-25 00:20:02","","197023.570766206","450007.904505908","","","","",
"23","의료기기판매(임대)업","01_02_03_P","3000000","PHMG120263000034047000004","2026-01-21","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 동숭동 ***-**","서울특별시 종로구 동숭길 **, *층 제이**호 (동숭동)","03085","웰스위치파트너스 주식회사","2026-01-23 11:21:13","I","2026-01-25 00:20:02","","200315.525649322","453201.94681626","","","","",
"24","의료기기판매(임대)업","01_02_03_P","3730000","PHMG120263730017047000002","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","울산광역시 울주군 범서읍 구영리 ***-* 서진프라자","울산광역시 울주군 범서읍 구영로 **, 서진프라자 ***호","44924","다이클로 울산범서구영점","2026-01-23 17:20:55","I","2026-01-25 00:20:02","","403045.933722008","232939.434803824","","","42.64","",
"25","의료기기판매(임대)업","01_02_03_P","4641000","PHMG120264641050047000007","2026-01-20","","01","영업/정상","13","영업중","","","","","063-236-5533","","","전북특별자치도 전주시 완산구 삼천동*가 ***-**","전북특별자치도 전주시 완산구 거마중앙로 **, *층 (삼천동*가)","55089","유한회사 동산실업","2026-01-23 09:09:20","I","2026-01-25 00:20:02","","210731.474151461","255183.300277807","","","96.8","",
"26","의료기기판매(임대)업","01_02_03_P","4641000","PHMG120264641050047000008","2026-01-21","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 효자동*가 ****-*","전북특별자치도 전주시 완산구 황강서원*길 *-**, *층 ***호 (효자동*가)","54960","호제 메디칼","2026-01-23 09:10:44","I","2026-01-25 00:20:02","","208825.537081905","258583.455551168","","","66","",
"27","의료기기판매(임대)업","01_02_03_P","4490000","PHMG120264490261047000005","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 *** 신청우건설","충청남도 천안시 서북구 원두정*길 *, 신청우건설 *층 ***호 (두정동)","31107","세븐일레븐 New Wave더 천안점","2026-01-23 09:32:13","I","2026-01-25 00:20:02","","212024.582936349","369910.195694547","","","159.31","",
"28","의료기기판매(임대)업","01_02_03_P","3010000","PHMG120263010033047000005","2026-01-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 ***-* 신영빌딩","서울특별시 중구 퇴계로 ***, 신영빌딩 *층 (신당동)","04578","포모남","2026-01-23 14:27:27","I","2026-01-25 00:20:02","","201833.693283735","451444.461211304","","","","",
"29","의료기기판매(임대)업","01_02_03_P","4840000","PHMG120264840022047000002","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","전라남도 광양시 마동 *** 광양서울병원","전라남도 광양시 진등길 **, 광양서울병원 내 매점 (마동)","57773","짱마트","2026-01-23 13:11:32","I","2026-01-25 00:20:02","","263074.999377294","162261.927610877","","","","",
"30","의료기기판매(임대)업","01_02_03_P","3460000","PHMG120263460023047000008","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 지산동 **** 신흥빌딩","대구광역시 수성구 용학로 ***, 신흥빌딩 *층 (지산동)","42212","케이에이비비 주식회사(KABB)","2026-01-23 09:35:50","I","2026-01-25 00:20:02","","347763.27824239","259028.699881584","","","","",
"31","의료기기판매(임대)업","01_02_03_P","3460000","PHMG120263460023047000009","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 수성동*가 **-*","대구광역시 수성구 달구벌대로***길 ** (수성동*가)","42120","제이와이인터내셔널","2026-01-23 17:38:10","I","2026-01-25 00:20:02","","345461.92444046","263351.853418539","","","","",
"32","의료기기판매(임대)업","01_02_03_P","3860000","PHMG120263860384047000010","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 원미구 상동 ***-* 굿모닝오피스텔","경기도 부천시 원미구 길주로 **, 굿모닝오피스텔 ***호 일부호 (상동)","14544","이슈스칼프 두피탈모 부천인천","2026-01-23 15:37:22","I","2026-01-25 00:20:02","","177750.078906076","444830.621797965","","","","",
"33","의료기기판매(임대)업","01_02_03_P","3860000","PHMG120263860384047000011","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 원미구 상동 ***-*","경기도 부천시 원미구 상이로*번길 *-**, *층 일부호 (상동)","14593","주식회사 엠티케어","2026-01-23 15:40:52","I","2026-01-25 00:20:02","","177263.739863646","443101.993693088","","","","",
"34","의료기기판매(임대)업","01_02_03_P","5130000","PHMG120265130030047000005","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 중방동 ***-*","경상북도 경산시 중앙로 **, *층 (중방동)","38628","주식회사 선우쇼핑 경산점","2026-01-23 13:08:45","I","2026-01-25 00:20:02","","356638.147200726","259395.628034252","","","","",
"35","의료기기판매(임대)업","01_02_03_P","5020000","PHMG120265020055047000002","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 대도동 ***-**","경상북도 포항시 남구 포스코대로 ***, *층 (대도동)","37821","코웨이 갤러리 포항직영점","2026-01-23 15:56:57","I","2026-01-25 00:20:02","","413133.381391254","281997.33357467","","","","",
"36","의료기기판매(임대)업","01_02_03_P","5020000","PHMG120265020055047000003","2026-01-21","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 연일읍 유강리 ***-* 대림한숲타운*단지아파트","경상북도 포항시 남구 연일읍 유강길*번길 **, 대림한숲타운*단지아파트 상가동 ***호","37656","에스지","2026-01-23 14:10:03","I","2026-01-25 00:20:02","","408592.966553537","281011.133614235","","","","",
"37","의료기기판매(임대)업","01_02_03_P","3030000","PHMG120263030033047000006","2026-01-23","","01","영업/정상","13","영업중","","","","","070-7722-0407","","","서울특별시 성동구 하왕십리동 ***-** 성동구아트센터","서울특별시 성동구 왕십리로 ***-**, 성동구아트센터 *층 (하왕십리동)","04710","주식회사 팀메이","2026-01-23 09:34:19","I","2026-01-25 00:20:02","","202635.16255792","451242.906694267","","","","",
"38","의료기기판매(임대)업","01_02_03_P","3990000","PHMG120263990309047000004","2026-01-20","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 다산동 ****-* 백석빌딩","경기도 남양주시 경춘로 ***, 백석빌딩 *층 ***호 (다산동)","12258","주식회사 구구케어서비스","2026-01-23 12:48:55","I","2026-01-25 00:20:02","","214442.464981149","456327.933097962","","","","",
"39","의료기기판매(임대)업","01_02_03_P","3940000","PHMG120263940139047000008","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 장항동 ***-* 파크프라자","경기도 고양시 일산동구 정발산로 **-**, 파크프라자 *층 ***호 (장항동)","10402","머신힐","2026-01-23 17:10:16","I","2026-01-25 00:20:02","","179849.580666893","461692.59774274","","","","",
"40","의료기기판매(임대)업","01_02_03_P","5370000","PHMG120265370025047000002","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","","경상남도 거제시 수양로 ***-*, 대안빌딩 *층 ***호 (수월동)","53237","김정문알로에 휴담원","2026-01-23 10:49:33","I","2026-01-25 00:20:02","","349982.819289204","156134.38915785","","","125.3","",
"41","의료기기판매(임대)업","01_02_03_P","4050000","PHMG120264050149047000010","2026-01-20","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 수지구 죽전동 ****-*","경기도 용인시 수지구 현암로**번길 **, *층 ***호 (죽전동)","16875","닷포유 SMP용인분당점","2026-01-23 15:09:58","I","2026-01-25 00:20:02","","210450.915150511","425564.133377741","","","39.68","",
"42","의료기기판매(임대)업","01_02_03_P","5590000","PHMG120265590021047000006","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 광적면 가납리 ***-* *층 코너","경기도 양주시 광적면 가래비길 **","11419","세븐일레븐 양주제일점","2026-01-23 09:15:48","I","2026-01-25 00:20:02","","198591.84536963","480156.725155308","","","","",
"43","의료기기판매(임대)업","01_02_03_P","4040000","PHMG120264040023047000004","2026-01-21","","01","영업/정상","13","영업중","","","","","","","","경기도 하남시 풍산동 *** 미사센텀비즈","경기도 하남시 조정대로 **, 미사센텀비즈 알***호 (풍산동)","12918","피터스","2026-01-23 17:32:25","I","2026-01-25 00:20:02","","216197.552708918","449829.801875259","","","75.96","",
"44","의료기기판매(임대)업","01_02_03_P","4610000","PHMG120264610020047000002","2026-01-23","","01","영업/정상","13","영업중","","","","","041-338-0908","","","충청남도 예산군 덕산면 읍내리 ***-*","충청남도 예산군 덕산면 봉운로 **","32406","덕산재가노인복지센터","2026-01-23 17:54:53","I","2026-01-25 00:20:02","","170544.120326069","356062.153419363","","","43","",
"45","의료기기판매(임대)업","01_02_03_P","4520000","PHMG120164520031047000007","2016-03-08","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 ****번지","충청남도 아산시 배방읍 설화고길 **-**","31467","GS25 설화고점","2026-01-23 13:08:21","U","2026-01-25 02:40:00","","208165.982638901","365250.884579178","","","","",
"46","의료기기판매(임대)업","01_02_03_P","3030000","PHMG120183030033047000018","2018-03-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동*가 ***-* 서울숲코오롱디지털타워 ****호","서울특별시 성동구 성수일로*길 **, 서울숲코오롱디지털타워 ****호 (성수동*가)","04781","포스메디(주)","2026-01-23 16:00:16","U","2026-01-25 02:40:00","","204522.096092445","448925.421926728","","","","",
"47","의료기기판매(임대)업","01_02_03_P","3210000","PHMG120123210034047000198","2012-11-19","","02","휴업","02","휴업","","2026-01-23","2027-01-22","","","","137-881","서울특별시 서초구 서초동 ****번지 *호 무이빌딩 ***호","서울특별시 서초구 서초중앙로**길 **-**, ***호 (서초동, 무이빌딩)","06634","네오룩스(주)","2026-01-23 12:07:29","U","2026-01-25 02:40:00","","201285.874755085","443414.901611931","","","","",
"48","의료기기판매(임대)업","01_02_03_P","3780000","PHMG120223780064047000266","2022-04-25","","03","폐업","03","폐업","2026-01-22","","","","","","","경기도 성남시 분당구 야탑동 ***","경기도 성남시 분당구 판교로 ***, *층 (야탑동)","13509","세븐일레븐 분당탑주유소점","2026-01-23 09:31:00","U","2026-01-25 02:40:00","","213776.387701029","433733.412955907","","","109.16","",
"49","의료기기판매(임대)업","01_02_03_P","4510000","PHMG120234510030047000018","2023-09-04","","03","폐업","03","폐업","2026-01-23","","","","","","","충청남도 보령시 대천동 ***-*","충청남도 보령시 원동*길 **, *층 (대천동)","33465","중앙보청기 보령지사","2026-01-23 13:49:52","U","2026-01-25 02:40:00","","163758.955821856","316770.920276549","","","","",
"50","의료기기판매(임대)업","01_02_03_P","3350000","PHMG120233350024047000047","2023-07-10","","01","영업/정상","13","영업중","","","","","","","","부산광역시 금정구 장전동 ***-*","부산광역시 금정구 금정로**번길 **-*, *층 (장전동)","46291","동양덴탈이커머스","2026-01-23 17:37:55","U","2026-01-25 02:40:00","","389950.209545566","194348.612456261","","","120.2","",
"51","의료기기판매(임대)업","01_02_03_P","5070000","PHMG119995070014047000002","1999-10-05","","03","폐업","03","폐업","2026-01-23","","","","054-843-9140","","760-905","경상북도 안동시 태화동 ***번지 **호","경상북도 안동시 경동로 *** (태화동)","36645","경북치재","2026-01-23 16:51:04","U","2026-01-25 02:40:00","","352582.693498004","342391.591300924","","","","",
"52","의료기기판매(임대)업","01_02_03_P","4050000","PHMG120154050148047000039","2015-06-10","","01","영업/정상","13","영업중","","","","","","","446-511","경기도 용인시 기흥구 마북동 ***번지 *호","경기도 용인시 기흥구 용구대로 ****-* (마북동)","16908","삼성웰스토리 주식회사","2026-01-23 17:30:56","U","2026-01-25 02:40:00","","209415.042863053","422266.888883951","","","462","",
"53","의료기기판매(임대)업","01_02_03_P","4781000","PHMG120164780012047000003","2016-04-26","","03","폐업","03","폐업","2026-01-23","","","","","","","","전북특별자치도 고창군 고창읍 보릿골로 *** (다판다)","56435","세모스쿠알렌고창지점","2026-01-23 15:23:54","U","2026-01-25 02:40:00","","172280.001314963","215688.57241599","","","95.08","",
"54","의료기기판매(임대)업","01_02_03_P","4800000","PHMG120194800026047000007","2019-05-08","","03","폐업","03","폐업","2025-11-30","","","","","","","전라남도 목포시 상동 ****-*","전라남도 목포시 비파로 **-*, *층 (상동)","58688","힐스템건강상동점","2026-01-23 11:15:25","U","2026-01-25 02:40:00","","147677.792948466","144787.017316065","","","131.44","",
"55","의료기기판매(임대)업","01_02_03_P","3940000","PHMG120193940139047000070","2019-06-05","","03","폐업","03","폐업","2026-01-23","","","","","","","경기도 고양시 일산동구 장항동 ***번지 *호 위너스** II","경기도 고양시 일산동구 호수로 ***-**, 위너스** II ***-***호 (장항동)","10401","(주)셀빅스","2026-01-23 18:08:28","U","2026-01-25 02:40:00","","179443.811344262","461950.576063425","","","","",
"56","의료기기판매(임대)업","01_02_03_P","3940000","PHMG120193940139047000032","2019-04-03","","03","폐업","03","폐업","2026-01-23","","","","","","","경기도 고양시 일산동구 장항동 ***번지 *호 라고프라자","경기도 고양시 일산동구 중앙로****번길 **, 라고프라자 ****호 (장항동)","10402","(주)케이피모바일","2026-01-23 18:07:35","U","2026-01-25 02:40:00","","179885.209979905","461760.387125345","","","254","",
"57","의료기기판매(임대)업","01_02_03_P","3500000","PHMG120193500020047000017","2019-09-26","","01","영업/정상","13","영업중","","","","","","","","","인천광역시 동구 방축로**번길 **, 인천산업용품유통단지 **동 ***호 (송림동)","22530","더드림샵","2026-01-23 13:40:24","U","2026-01-25 02:40:00","","169424.109924844","442692.722669138","","","33.94","",
"58","의료기기판매(임대)업","01_02_03_P","3930000","PHMG120193930154047000032","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 고잔동 ***-* 신원빌딩","경기도 안산시 단원구 화랑로 ***, 신원빌딩 *층 ***-***호 (고잔동)","15352","주식회사 제이씨헬쓰","2026-01-23 08:10:50","U","2026-01-25 02:40:00","","185075.778286666","424318.441583332","","","","",
"59","의료기기판매(임대)업","01_02_03_P","3620000","PHMG120193620020047000070","2018-09-19","","03","폐업","03","폐업","2024-09-04","","","","","","","광주광역시 북구 동림동 **번지 **호 삼호가든아파트","광주광역시 북구 북문대로 ***, ***호 (동림동, 삼호가든아파트)","61265","에스씨메디칼","2026-01-23 15:12:17","U","2026-01-25 02:40:00","","187671.833957126","187452.467798146","","","10","",
"60","의료기기판매(임대)업","01_02_03_P","3980000","PHMG120243980021047000066","2024-10-14","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 인창동 ***-** 아름마을일신아파트","경기도 구리시 동구릉로 **, ***동 ****호 (인창동, 아름마을일신아파트)","11914","늘품","2026-01-23 16:52:33","U","2026-01-25 02:40:00","","211777.24299848","456313.42582813","","","134.86","",
"61","의료기기판매(임대)업","01_02_03_P","4641000","PHMG120224640131047000376","2019-12-04","","03","폐업","03","폐업","2026-01-23","","","","","","","전북특별자치도 전주시 완산구 중화산동*가 *** 신동아국화연립주택","전북특별자치도 전주시 완산구 메너머*길 **-*, *층 (중화산동*가, 신동아국화연립주택)","54972","주식회사 파이오젠","2026-01-23 16:17:06","U","2026-01-25 02:40:00","","210776.420976472","257915.373227779","","","66","",
"62","의료기기판매(임대)업","01_02_03_P","4820000","PHMG120224820026047000074","2022-02-10","","03","폐업","03","폐업","2026-01-22","","","","","","","전라남도 순천시 연향동 **** 연향*단지 현대아파트","전라남도 순천시 연향중앙상가길 **, ***호 (연향동, 연향*단지 현대아파트)","57976","미니스톱 순천현대점","2026-01-23 07:57:21","U","2026-01-25 02:40:00","","247534.338059865","161378.965733643","","","","",
"63","의료기기판매(임대)업","01_02_03_P","5130000","PHMG120225130030047000112","2022-02-22","","03","폐업","03","폐업","2026-01-22","","","","","","","경상북도 경산시 유곡동 ***-** 엘지마트","경상북도 경산시 들뫼길**길 **, *층 (유곡동)","38609","씨유 대구한의대점","2026-01-23 13:32:30","U","2026-01-25 02:40:00","","360404.433615866","256844.194597244","","","","",
"64","의료기기판매(임대)업","01_02_03_P","5130000","PHMG120225130030047000113","2022-02-22","","03","폐업","03","폐업","2026-01-22","","","","","","","경상북도 경산시 중방동 ***-*","경상북도 경산시 중방로 **, *층 (중방동)","38612","씨유 경산중방대로점","2026-01-23 13:32:44","U","2026-01-25 02:40:00","","356919.346045216","260298.589501716","","","","",
"65","의료기기판매(임대)업","01_02_03_P","3040000","PHMG120223040033047000064","2022-02-11","","03","폐업","03","폐업","2026-01-21","","","","02-3436-7934","","","서울특별시 광진구 자양동 ***","서울특별시 광진구 자양번영로 **, *층 (자양동)","05098","(주)지투엠글로벌","2026-01-23 18:12:46","U","2026-01-25 02:40:00","","206622.184390543","447801.074008667","","","","",
"66","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120223630020047000101","2022-03-29","","03","폐업","03","폐업","2026-01-19","","","","","","","광주광역시 광산구 월계동 ***-*","광주광역시 광산구 월계로***번길 **, *층 (월계동)","62266","세븐일레븐 광주첨단숭덕2점","2026-01-23 17:17:18","U","2026-01-25 02:40:00","","185199.500247393","190440.409020261","","","","",
"67","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120223630020047000102","2022-03-29","","03","폐업","03","폐업","2026-01-19","","","","","","","광주광역시 광산구 쌍암동 ***-*","광주광역시 광산구 임방울대로***번길 **, *층 (쌍암동)","62278","세븐일레븐 광주쌍암지구점","2026-01-23 17:16:39","U","2026-01-25 02:40:00","","186175.530990096","191112.036436194","","","","",
"68","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120223630020047000103","2022-03-30","","03","폐업","03","폐업","2026-01-19","","","","","","","광주광역시 광산구 쌍암동 ***-**","광주광역시 광산구 첨단중앙로***번길 **(쌍암동)","62274","세븐일레븐 광주첨단 호수공원점","2026-01-23 17:16:56","U","2026-01-25 02:40:00","","185700.173818043","191387.580223949","","","","",
"69","의료기기판매(임대)업","01_02_03_P","4090000","PHMG120224090023047000239","2019-10-25","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 대곶면 율생리 ***-**","경기도 김포시 대곶면 종생로**번길 **-**","10044","(주)돌섬","2026-01-23 09:25:08","U","2026-01-25 02:40:00","","","","","","","",
"70","의료기기판매(임대)업","01_02_03_P","3120000","PHMG120223120033047000013","2022-02-03","","03","폐업","03","폐업","2026-01-23","","","","","","","서울특별시 서대문구 북가좌동 ***-** 첼라넥스빌","서울특별시 서대문구 증가로**안길 **, *층 (북가좌동, 첼라넥스빌)","03676","씨유 북가좌제일점","2026-01-23 13:53:31","U","2026-01-25 02:40:00","","192325.588773411","453650.654292573","","","","",
