"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"11","승강기유지관리업체","11_48_01_P","6110000","611000000025","1993-01-19","","01","영업/정상","1","인허가","","","","","0226107777","","","서울특별시 마포구 상암동 1596번지 상암DMC푸르지오시티,S-City","서울특별시 마포구 월드컵북로54길 25, 상암DMC푸르지오시티,S-City(상암동)","03924","티케이엘리베이터코리아(주)","2026-01-23 08:47:19","U","2026-01-25 02:40:00","","190144.892942247","453302.04990022","유지관리","고속승강기,중저속승강기","104000000","","0","29","0","","","","","","","","","본점","1338123748",
"12","승강기유지관리업체","11_48_01_P","6460000","481000000001","1992-12-17","","01","영업/정상","1","인허가","","","","","0616832557","","","전라남도 여수시 안산동 725번지 16호","전라남도 여수시 장성1길 26 (안산동)","","(주)건영엘리베이터","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","200","200","2300","3","0","","","","","","","","","본점","4178117921",
"13","승강기유지관리업체","11_48_01_P","6410000","405000000006","1998-07-25","","01","영업/정상","1","인허가","","","","","031 282 0403","","17088","경기도 용인시 기흥구 지곡동 474번지 1호","경기도 용인시 기흥구 지삼로98번길 47-4, 2층 (지곡동)","17088","(주)동명엘리베이터","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","200","200","1000","1","0","","","","","","","","","본점","1248170965",
"14","승강기유지관리업체","11_48_01_P","6410000","383000000009","2007-01-12","","01","영업/정상","1","인허가","","","","","0314664456","","14005","경기도 안양시 만안구 안양동 900-10 안양월드","경기도 안양시 만안구 안양로329번길 108, 안양월드 305호 (안양동)","14005","서원엘리베이터(주)","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","고속승강기,중저속승강기","300","100","2430","7","0","","","","","","","","","본점","1238608269",
"15","승강기유지관리업체","11_48_01_P","6410000","394000000002","2014-02-18","","01","영업/정상","1","인허가","","","","","0319173260","","10383","경기도 고양시 일산서구 대화동 2259번지 3호","경기도 고양시 일산서구 호수로838번길 74-40, 1층 (대화동)","10383","(주)한신승강기","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","200","","900","1","","","","","","","","","","본점","1288137032",
"16","승강기유지관리업체","11_48_01_P","6410000","382000000007","2006-05-03","","01","영업/정상","1","인허가","","","","","031 877 7673","","11652","경기도 의정부시 의정부동 573 도림빌딩","경기도 의정부시 신흥로 196, 도림빌딩 2층 (의정부동)","11652","태원엘리베이터(주)","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","200","300","1700","3","","","","","","","","","","본점","1278198846",
"17","승강기유지관리업체","11_48_01_P","6260000","626000000092","2000-03-11","","01","영업/정상","1","인허가","","","","","0515258754","","","부산광역시 금정구 부곡동 788번지 대동다숲아파트 상가동","부산광역시 금정구 부곡로 32-12, 상가동 2층(부곡동, 대동다숲아파트)","46310","동양기전엘리베이터(주)","2026-01-23 16:55:37","U","2026-01-25 02:40:00","","390214.814637223","192972.908899409","유지관리","고속승강기,중저속승강기","100000000","100000000","1,400","2","0","","","","13","10","3","3","","본점","6078148065",
"18","승강기유지관리업체","11_48_01_P","6260000","626000000133","2007-11-07","","01","영업/정상","1","인허가","","","","","0515572675","","","부산광역시 강서구 대저2동 3138-1","부산광역시 강서구 유통단지1로 50, 티플렉스 202동 212호 (대저2동)","46721","비엘티중앙엘리베이터(주)","2026-01-23 16:53:26","U","2026-01-25 02:40:00","","377988.039931223","187305.367579404","유지관리","중저속승강기","100000000","","700","1","0","","","","6","","","","","본점","6078182802",
"19","승강기유지관리업체","11_48_01_P","6410000","404000000002","2014-08-29","","01","영업/정상","1","인허가","","","","","18006752","","12918","경기도 하남시 풍산동 490-1 에코큐브 지식산업센터","경기도 하남시 미사강변서로 22, 에코큐브 지식산업센터 10층 1001호 (풍산동)","12918","(주)대우엘리베이터","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","300","","900","1","","","","","","","","","","본점","2158626703",
"20","승강기유지관리업체","11_48_01_P","6480000","567000000023","2018-02-02","","01","영업/정상","1","인허가","","","","","055 289 8235","","51542","경상남도 창원시 성산구 성주동 82-1","경상남도 창원시 성산구 곰절길9번길 3, 리성빌딩 3층 (성주동)","51542","오티스엘리베이터(유)경남","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","33440","","4100","12","","","","","","","","","","본점","4658500878",
"21","승강기유지관리업체","11_48_01_P","6270000","627000000021","1994-11-23","","01","영업/정상","1","인허가","","","","","0537427033","","","대구광역시 수성구 대흥동 841-2","대구광역시 수성구 알파시티1로 192, 수성더비즈타워 501동 5층 505호 (대흥동)","42250","티케이엘리베이터코리아(주) 경북지사","2026-01-23 10:36:46","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","671000000","","10,530","12","0","","","","117","","","","","본점","5028522263",
"22","승강기유지관리업체","11_48_01_P","6300000","630000000086","2019-05-07","","01","영업/정상","1","인허가","","","","","0426222446","","","대전광역시 대덕구 대화동 289-1 산업용재유통상가 10동 231호","대전광역시 대덕구 대화로 160, 산업용재유통상가 10동 231호(대화동)","34368","주식회사 동아엘리베이터","2026-01-23 09:34:11","U","2026-01-25 02:40:00","","236019.893489066","318423.179224484","유지관리","중저속승강기","100000000","100000000","810","2","","","","","9","","","","","본점","5748700889",
"23","승강기유지관리업체","11_48_01_P","6530000","422100000001","2024-12-19","","01","영업/정상","1","인허가","","","","","","","26023","강원특별자치도 태백시 황지동 220 황지동유진아트빌","강원특별자치도 태백시 고원로 61, 상가동 7호 (황지동, 황지동유진아트빌)","26023","동아엘리베이터 주식회사","2026-01-23 00:00:00","U","2026-01-25 02:40:00","","","","유지관리","중저속승강기","100","","380","1","","","","","","","","","","본점","4098803269",
