"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"20","담배소매업","11_43_02_P","3150000","2026315020005600005","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 강서구 개화동 388-1","서울특별시 강서구 개화동로8길 38, 개화역사 (개화동)","07505","지에스(GS)25 S9개화역점","2026-01-23 17:18:28","I","2026-01-25 00:20:02","","181881.234660314","453174.899157458","20260123","제7조의3제3항에따른경우",
"21","담배소매업","11_43_02_P","4570000","2026457018005600001","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","충청남도 부여군 부여읍 쌍북리 155-4 j클래식","충청남도 부여군 부여읍 월함로12번길 6, B동 301호 (j클래식)","33133","지에스25(GS25)부여홍산점","2026-01-23 17:08:57","I","2026-01-25 00:20:02","","193062.643793551","309305.331325285","20260123","제7조의3제2항에따른경우",
"22","담배소매업","11_43_02_P","4681000","2026468110505600005","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","전북특별자치도 익산시 모현동1가 303-14","전북특별자치도 익산시 고현로7길 16 (모현동1가)","54659","지에스(GS)25 익산희망점","2026-01-23 08:55:05","I","2026-01-25 00:20:02","","194693.729138637","271790.396314595","20260123","제7조의3제2항에따른경우",
"23","담배소매업","11_43_02_P","3290000","2026329018605600003","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 부산진구 범천동 853-33","부산광역시 부산진구 황령대로18번길 23, 1층 (범천동)","47354","이마트24 범천영성점","2026-01-23 10:24:27","I","2026-01-25 00:20:02","","387795.667002134","185026.900433009","20260123","제7조의3제2항에따른경우",
"24","담배소매업","11_43_02_P","3350000","2026335015605600003","2026-01-22","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 금정구 금사동 30-19 안성빌라","부산광역시 금정구 금사로107번길 16, 1층 101호 (금사동, 안성빌라)","46264","돈돈축산","2026-01-23 13:02:29","I","2026-01-25 00:20:02","","392249.703578706","193517.563057739","20260122","제7조의3제2항에따른경우",
"25","담배소매업","11_43_02_P","5380000","2026538032005600008","2026-01-22","","01","영업/정상","0","정상영업","","","","","","","","경상남도 양산시 물금읍 범어리 2784 원타운","경상남도 양산시 물금읍 야리3길 49, 원타운 114,115호","50652","씨스페이스24 범어신도시점","2026-01-23 09:52:05","I","2026-01-25 00:20:02","","382844.254684339","203582.069039697","20260122","제7조의3제2항에따른경우",
"26","담배소매업","11_43_02_P","5380000","2026538032005600009","2026-01-21","","01","영업/정상","0","정상영업","","","","","","","","경상남도 양산시 북정동 907-2","경상남도 양산시 신기로 67 (북정동)","50572","신양산건재상사","2026-01-23 15:24:34","I","2026-01-25 00:20:02","","385735.341628187","208268.507538552","20260121","제7조의3제2항에따른경우",
"27","담배소매업","11_43_02_P","4050000","2026562002705600007","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","경기도 용인시 처인구 양지읍 주북리 886-2","경기도 용인시 처인구 양지읍 주북로53번길 3, 1층","17039","세븐일레븐 용인주북로점","2026-01-23 16:09:15","I","2026-01-25 00:20:02","","221105.43612998","416391.736655076","20260123","제7조의3제2항에따른경우",
"28","담배소매업","11_43_02_P","4050000","2026563001805600004","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","경기도 용인시 기흥구 구갈동 662 기흥역 센트럴 푸르지오 B110~호","경기도 용인시 기흥구 기흥역로58번길 10, B110~B112호 (구갈동, 기흥역 센트럴 푸르지오)","17066","지에스더프레시(기흥역점)","2026-01-23 16:08:08","I","2026-01-25 00:20:02","","210564.068181039","419044.869002003","20260123","제7조의3제2항에따른경우",
"29","담배소매업","11_43_02_P","5080000","2004508010805600007","2004-01-08","","03","폐업","2","폐업처리","2026-01-23","","","","054-481-4571","","730-804","경상북도 구미시 선산읍 완전리 172번지","경상북도 구미시 선산읍 단계서길 19-1","730-804","현대종합철물상사","2026-01-23 15:04:49","U","2026-01-25 02:40:00","","316798.311847985","305081.685580059","20040108","2009년11월법개정전자료",
"30","담배소매업","11_43_02_P","3040000","2003304007305600082","2003-07-08","","03","폐업","2","폐업처리","2026-01-23","","","","","","143-852","서울특별시 광진구 자양1동 219번지 2호 앞 보도","서울특별시 광진구 자양로 95 (자양동, 보도)","143-852","가판점","2026-01-23 16:53:16","U","2026-01-25 02:40:00","","207281.948699606","448219.671396301","20030708","2009년11월법개정전자료",
"31","담배소매업","11_43_02_P","3490000","2019349016805600031","2019-05-28","","04","취소/말소/만료/정지/중지","5","지정취소","","","","","","","","인천광역시 중구 운서동 3102번지 1호 영종LH2단지 아파트","인천광역시 중구 영종대로252번길 12, 임대상가동 102호,103호 (운서동, 영종LH2단지 아파트)","22376","세븐일레븐 영종은서점","2026-01-23 12:24:43","U","2026-01-25 02:40:00","","155895.710939462","443015.726276969","20190528","제7조의3제2항에따른경우",
"32","담배소매업","11_43_02_P","3490000","2023349019105600043","2023-06-13","","04","취소/말소/만료/정지/중지","5","지정취소","","","","","","","","인천광역시 중구 을왕동 523-2","인천광역시 중구 공항서로 623, 일반건물 1층 (을왕동)","22384","굿데이","2026-01-23 12:24:32","U","2026-01-25 02:40:00","","146182.168884321","439246.07027858","20230613","제7조의3제2항에따른경우",
"33","담배소매업","11_43_02_P","4191000","2021419031705600049","2021-07-08","","03","폐업","2","폐업처리","2026-01-16","","","","0330000000","","","강원특별자치도 원주시 단계동 846","강원특별자치도 원주시 장미공원길 27, 1층 (단계동)","26436","세븐일레븐 원주단계3점","2026-01-23 15:58:10","U","2026-01-25 02:40:00","","282527.752412888","427630.014684131","20210708","제7조의3제2항에따른경우",
"34","담배소매업","11_43_02_P","4840000","2015484012705600026","2015-07-06","","01","영업/정상","0","정상영업","","","","","061-799-1771","","","전라남도 광양시 금호동 716 백운쇼핑센터","전라남도 광양시 폭포사랑길 99, 백운쇼핑센터 (금호동)","57804","사단법인 제철복지회","2026-01-23 16:46:42","U","2026-01-25 02:40:00","","266789.909341529","160414.248689205","20150706","제7조의3제3항에따른경우",
"35","담배소매업","11_43_02_P","4800000","2015480022605600011","2015-03-31","","01","영업/정상","0","정상영업","","","","","061-280-6000","","","전라남도 목포시 석현동 247","전라남도 목포시 선곡로 33 (석현동)","58669","(주)농협하나로유통 농협목포유통센터","2026-01-23 14:18:38","U","2026-01-25 02:40:00","","147751.551679084","146892.172977467","20150331","제7조의3제3항에따른경우",
"36","담배소매업","11_43_02_P","4820000","2018482024905600001","2018-01-04","","03","폐업","2","폐업처리","2026-01-23","","","","061-751-9353","","","전라남도 순천시 주암면 궁각리 484번지 4호","전라남도 순천시 주암면 주석로 276-1","57910","주암농공단지 매점","2026-01-23 14:13:14","U","2026-01-25 02:40:00","","222348.219184201","177811.606560632","20180104","제7조의3제2항에따른경우",
"37","담배소매업","11_43_02_P","3930000","2019555003005600067","2019-10-01","","03","폐업","2","폐업처리","2026-01-23","","","","","","","경기도 안산시 상록구 건건동 572번지 12호 평안파크빌","경기도 안산시 상록구 건건로 79, 에이동 101호 (건건동, 평안파크빌)","15521","지에스25 반월도서관점","2026-01-23 14:30:40","U","2026-01-25 02:40:00","","191376.345636978","422902.856753123","20191001","제7조의3제2항에따른경우",
"38","담배소매업","11_43_02_P","3390000","2024339010905600042","2024-10-07","","03","폐업","2","폐업처리","2026-01-23","","","","","","","부산광역시 사상구 학장동 571-3 신구덕우성아파트","부산광역시 사상구 학감대로 109-14, (신구덕우성아파트 상가) (학장동)","47052","없음","2026-01-23 13:09:25","U","2026-01-25 02:40:00","","381022.207485785","184140.540676667","20241007","제7조의3제2항에따른경우",
"39","담배소매업","11_43_02_P","3630000","2017363020005600143","2017-10-26","","01","영업/정상","0","정상영업","","","","","062-942-9368","","","","광주광역시 광산구 송도로 164 (도산동)","62445","주식회사 다담리테일 (송정점)","2026-01-23 15:36:16","U","2026-01-25 02:40:00","","181078.325459015","181140.148674768","20171026","제7조의3제3항에따른경우",
"40","담배소매업","11_43_02_P","3630000","2017363020005600144","2017-10-26","","01","영업/정상","0","정상영업","","","","","062-956-3232","","","","광주광역시 광산구 목련로273번안길 12 (운남동)","62313","주식회사 다담리테일(운남점)","2026-01-23 15:30:30","U","2026-01-25 02:40:00","","183893.084029831","186602.753832788","20171026","제7조의3제3항에따른경우",
"41","담배소매업","11_43_02_P","3930000","2016555003005600070","2016-09-27","","02","휴업","1","휴업처리","","2026-01-23","2026-02-28","","1577-0711","","","경기도 안산시 상록구 사동 1271번지","경기도 안산시 상록구 한양대학로 55, 2층 (사동, 한양대학교)","15588","(주)코리아세븐 한양대안산복지관점","2026-01-23 14:19:35","U","2026-01-25 02:40:00","","185280.88157797","421578.196815357","20160927","제7조의3제2항에따른경우",
"42","담배소매업","11_43_02_P","5180000","2024518011405600004","2024-06-14","","01","영업/정상","0","정상영업","","","","","","","","경상북도 영덕군 남정면 장사리 73-10","경상북도 영덕군 남정면 동해대로 3600","36463","GS25 영덕장사해수욕장점","2026-01-23 09:57:32","U","2026-01-25 02:40:00","","413278.853981047","311666.481800487","20240614","제7조의3제2항에따른경우",
"43","담배소매업","11_43_02_P","3340000","2009334006605600027","2009-04-10","","03","폐업","2","폐업처리","2026-01-23","","","","293-9027","","","부산광역시 사하구 감천동 502번지 40호","부산광역시 사하구 감천로93번길 19 (감천동)","49373","하이트슈퍼","2026-01-23 14:18:30","U","2026-01-25 02:40:00","","382544.799511138","178525.825020209","20090410","2009년11월법개정전자료",
"44","담배소매업","11_43_02_P","3180000","2001318007605622656","2001-09-17","","03","폐업","2","폐업처리","2026-01-23","","","","02 6753472","","","서울특별시 영등포구 영등포동1가 143번지 2  호 롯데백화점앞 버스표충전소","","","버스표충전소","2026-01-23 17:13:16","U","2026-01-25 02:40:00","","","","20010917","2009년11월법개정전자료",
"45","담배소매업","11_43_02_P","6510000","2020651006005600002","2020-03-16","","03","폐업","2","폐업처리","2026-01-22","","","","","","","제주특별자치도 제주시 외도일동 549번지 5호 대원상록수11차아파트","제주특별자치도 제주시 우정로15길 1, 101호 (외도일동, 대원상록수11차아파트)","63070","쎄븐일레븐 제주외도중앙점","2026-01-23 11:48:15","U","2026-01-25 02:40:00","","147065.39604916","-993.207507332433","20200316","제7조의3제2항에따른경우",
"46","담배소매업","11_43_02_P","3080000","2026308019005600001","2026-01-16","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 강북구 수유동 484 에덴빌딩","서울특별시 강북구 삼양로77길 51, 에덴빌딩 1층 우측호 (수유동)","01103","지에스(GS)25뉴수유한빛","2026-01-23 15:59:22","U","2026-01-25 02:40:00","","201320.22814348","458508.777571946","20260116","제7조의3제2항에따른경우",
"47","담배소매업","11_43_02_P","3600000","2026360023705600002","2026-01-13","","01","영업/정상","0","정상영업","","","","","","","","광주광역시 서구 금호동 818 풍암부영1차아파트(마재마을)","광주광역시 서구 화개1로24번길 10, 상가2동 102호,104호,105호 (금호동, 풍암부영1차아파트(마재마을))","62020","지에스25 마재프레시점","2026-01-23 17:37:55","U","2026-01-25 02:40:00","","186938.682993594","180707.703055694","20260113","제7조의3제2항에따른경우",
"48","담배소매업","11_43_02_P","5670000","2026567056605600001","2026-01-16","","01","영업/정상","0","정상영업","","","","","","","","경상남도 창원시 의창구 봉곡동 31-4 성우프라자","경상남도 창원시 의창구 지귀로 14, 성우프라자 1층 101,102,104호 (봉곡동)","51176","세븐일레븐 창원뉴봉곡본점","2026-01-23 15:16:04","U","2026-01-25 02:40:00","","350062.184191749","195174.141308354","20260116","제7조의3제2항에따른경우",
"49","담배소매업","11_43_02_P","5180000","2026518011405600002","2026-01-21","","01","영업/정상","0","정상영업","","","","","","","","경상북도 영덕군 남정면 장사리 73-10","경상북도 영덕군 남정면 동해대로 3600","36463","gs25 영덕장사해수욕장점","2026-01-23 13:50:20","U","2026-01-25 02:40:00","","413278.853981047","311666.481800487","20260121","제7조의3제2항에따른경우",
"50","담배소매업","11_43_02_P","3300000","2026330011905600002","2026-01-12","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 동래구 사직동 63-2","부산광역시 동래구 아시아드대로176번길 4, 1층 (사직동)","47840","씨유 부산사직역점","2026-01-23 13:19:00","U","2026-01-25 02:40:00","","387996.017217922","190926.008771011","20260112","제7조의3제2항에따른경우",
"51","담배소매업","11_43_02_P","3740000","2023377004105600016","2023-04-12","","03","폐업","2","폐업처리","2026-01-23","","","","","","","경기도 수원시 팔달구 지동 279-7","경기도 수원시 팔달구 세지로 327-2, 1층 (지동)","16243","지에스25 지동중앙점","2026-01-23 11:11:39","U","2026-01-25 02:40:00","","202042.19825131","419838.347261518","20230412","제7조의3제2항에따른경우",
"52","담배소매업","11_43_02_P","4840000","2024484025805600009","2024-03-29","","01","영업/정상","0","정상영업","","","","","","","","전라남도 광양시 금호동 703","전라남도 광양시 희망1길 69 (금호동)","57807","(사)제철복지회","2026-01-23 16:44:06","U","2026-01-25 02:40:00","","266831.757879579","159736.325700676","20240329","제7조의3제3항에따른경우",
"53","담배소매업","11_43_02_P","3990000","2024399051205600053","2024-05-09","","03","폐업","2","폐업처리","2026-01-23","","","","","","","경기도 남양주시 화도읍 가곡리 268","경기도 남양주시 화도읍 가곡로 39, 1층","12032","(주)코리아세븐 남양주가곡점","2026-01-23 16:08:01","U","2026-01-25 02:40:00","","226574.668208455","464689.526608481","20240509","제7조의3제2항에따른경우",
"54","담배소매업","11_43_02_P","3140000","2015314016705600002","2015-01-06","","01","영업/정상","0","정상영업","","","","","","","158-091","서울특별시 양천구 신월동 537번지 5호","서울특별시 양천구 신월로15길 8 (신월동)","158-091","신월동 전자담배","2026-01-23 17:33:03","U","2026-01-25 02:40:00","","185972.226069752","446335.561835551","20150106","제7조의3제2항에따른경우",
"55","담배소매업","11_43_02_P","4400000","2020440029705600012","2020-06-05","","01","영업/정상","0","정상영업","","","","","043-640-7190","","","충청북도 제천시 청풍면 교리 99번지 청풍 레이크 호텔 1층 편의점","충청북도 제천시 청풍면 청풍호로 1798, 청풍 레이크 호텔 1층 편의점","27215","국민연금공단 청풍리조트","2026-01-23 10:35:29","U","2026-01-25 02:40:00","","304722.530337466","391207.333776874","20200605","제7조의3제3항에따른경우",
"56","담배소매업","11_43_02_P","3110000","2021311021705600069","2021-10-19","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 은평구 신사동 38-30 정명네스트아파트","서울특별시 은평구 가좌로 294, 1층 102호 (신사동, 정명네스트아파트)","03452","지에스25 은평상림점","2026-01-23 16:58:12","U","2026-01-25 02:40:00","","192145.905143244","454713.024586408","20211019","제7조의3제2항에따른경우",
"57","담배소매업","11_43_02_P","3240000","2021324023605600059","2021-11-05","","03","폐업","2","폐업처리","2026-01-23","","","","","","","서울특별시 강동구 명일동 324-1","서울특별시 강동구 양재대로 1626, 1층 105호 (명일동)","05292","뉴턴전자담배 명일점","2026-01-23 15:08:46","U","2026-01-25 02:40:00","","212681.624988465","449827.101460261","20211105","제7조의3제2항에따른경우",
"58","담배소매업","11_43_02_P","5180000","2025518011405613578","2025-11-04","","01","영업/정상","0","정상영업","","","","","","","","경상북도 영덕군 남정면 양성리 산 8-1 영덕휴게소","경상북도 영덕군 남정면 포항영덕고속도로 22, 영덕휴게소","36463","(주)비지에프휴먼넷 CU E 영덕휴게소영덕점","2026-01-23 16:00:15","U","2026-01-25 02:40:00","","412328.95574353","311464.399267085","20251104","제7조의3제2항에따른경우",
"59","담배소매업","11_43_02_P","3140000","2025314027205600034","2025-12-29","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 양천구 신정동 1294 학마을아파트","서울특별시 양천구 신정로14길 1, 상가동 103호 (신정동, 학마을아파트)","08108","지에스25 양천학마을","2026-01-23 17:34:44","U","2026-01-25 02:40:00","","186242.328283371","445256.468917074","20251229","제7조의3제2항에따른경우",
"60","담배소매업","11_43_02_P","3280000","2024328014205600004","2024-03-04","","03","폐업","2","폐업처리","2026-01-23","","","","","","","부산광역시 영도구 영선동1가 21-1 영도오션트라움 101호","부산광역시 영도구 태종로 107, 영도오션트라움 1층 101호 (영선동1가)","49036","상호없음","2026-01-23 10:33:19","U","2026-01-25 02:40:00","","386208.241461828","178822.91667553","20240304","제7조의3제2항에따른경우",
"61","담배소매업","11_43_02_P","5670000","2024567057205600005","2024-02-21","","03","폐업","2","폐업처리","2026-01-26","","","","","","","경상남도 창원시 마산회원구 양덕동 174-26","경상남도 창원시 마산회원구 봉양로 45, 1층 (양덕동)","51345","마산SKY마트","2026-01-23 10:31:21","U","2026-01-25 02:40:00","","344899.476492108","192523.743297447","20240221","제7조의3제2항에따른경우",
"62","담배소매업","11_43_02_P","3470000","2011347011705600218","2011-12-06","","03","폐업","2","폐업처리","2026-01-23","","","","053-567-0555","","704-953","대구광역시 달서구 감삼동 100번지 5호","대구광역시 달서구 달구벌대로 1600 (감삼동)","704-953","행운마트","2026-01-23 09:59:06","U","2026-01-25 02:40:00","","339201.558579636","262358.32527609","20111206","제7조의3제2항에따른경우",
"63","담배소매업","11_43_02_P","4060000","2021406040705600127","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","경기도 파주시 월롱면 영태리 580-1 뉴스타장","경기도 파주시 월롱면 통일로 768, 1층","10945","지에스(GS)25 파주영태리점","2026-01-23 14:21:09","U","2026-01-25 02:40:00","","181342.23016453","475041.856206108","20260123","제7조의3제2항에따른경우",
"64","담배소매업","11_43_02_P","3910000","2022391039705600094","2022-12-19","","03","폐업","2","폐업처리","2025-12-16","2023-02-10","2023-03-01","","","","","경기도 평택시 동삭동 0","경기도 평택시 모산1길 17, 102호 (동삭동)","18030","씨유 나눔평택점","2026-01-23 15:44:37","U","2026-01-25 02:40:00","","","","20221219","제7조의3제2항에따른경우",
"65","담배소매업","11_43_02_P","4671000","2023467028605600033","2023-07-03","","03","폐업","2","폐업처리","2026-01-23","","","","","","","전북특별자치도 군산시 미룡동 59-10","전북특별자치도 군산시 미룡로 73, 1층 2호 (미룡동)","54152","쉽고빠른마켓","2026-01-23 17:18:54","U","2026-01-25 02:40:00","","172112.280447082","271807.259071831","20230703","제7조의3제2항에따른경우",
"66","담배소매업","11_43_02_P","4671000","2022467026605600057","2022-08-01","","03","폐업","2","폐업처리","2026-01-23","","","","","","","전북특별자치도 군산시 구암동 64-48","전북특별자치도 군산시 서당길 22(구암동)","54044","씨유 군산구암스타점","2026-01-23 10:36:40","U","2026-01-25 02:40:00","","177572.046681142","275364.449817938","20220801","제7조의3제2항에따른경우",
"67","담배소매업","11_43_02_P","4671000","2012467017705600141","2012-11-26","","03","폐업","2","폐업처리","2026-01-23","","","","","","573-760","전북특별자치도 군산시 나운3동 155번지 5호 대우아파트 상가동 108호","전북특별자치도 군산시 의료원로 138, 상가동 108호 (나운동, 대우아아파트)","573-760","이마트24 군산나운타운점","2026-01-23 10:37:20","U","2026-01-25 02:40:00","","173018.671549522","273166.926563206","20121126","제7조의3제2항에따른경우",
"68","담배소매업","11_43_02_P","4711000","2000471001105618007","1995-04-25","","03","폐업","2","폐업처리","2026-01-23","","","","06354206  94","","","전북특별자치도 김제시 검산동 282호","","","복복상회","2026-01-23 15:06:16","U","2026-01-25 02:40:00","","192093.440103232","256320.387190575","19950425","2009년11월법개정전자료",
"69","담배소매업","11_43_02_P","5480000","2005548006905600008","2005-02-22","","01","영업/정상","0","정상영업","","","","","9327795","","","경상남도 합천군 가야면 매안리 398-6호","경상남도 합천군 가야면 매안대전길 6","678-893","해인사농업협동조합 숭산지점","2026-01-23 16:03:58","U","2026-01-25 02:40:00","","300199.763234721","248518.999219976","20050222","2009년11월법개정전자료",
