"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수","주사육업종",
"11","가축사육업","02_04_01_P","5120000","512000003320050101","2005-04-11","","03","폐업","0002","폐업","2026-01-23","","","","","0","745-863","경상북도 문경시 마성면 하내리 ***","경상북도 문경시 마성면 하내*길 **-**","","한국농장","2026-01-23 16:54:02","U","2026-01-25 02:40:00","","296540.633065752","351761.599329315","가축사육업","","141","000","0","한우",
"12","가축사육업","02_04_01_P","4170000","417000003320050242","2005-08-24","","01","영업/정상","0000","정상","","","","","","0","476-881","경기도 양평군 양동면 계정리 *** ,***-*","경기도 양평군 양동면 계정창말길 **","12535","양돈","2026-01-23 16:15:20","U","2026-01-25 02:40:00","","268242.52858448","439253.464316368","가축사육업","","454","000","0","돼지",
"13","가축사육업","02_04_01_P","5590000","559000003320050245","2005-02-22","","01","영업/정상","0000","정상","","","","","031-862-1035","0","","경기도 양주시 은현면 운암리 **-* ,-*, -*","경기도 양주시 은현면 은현로***번길 **-**","11426","한빛농장","2026-01-23 15:15:38","U","2026-01-25 02:40:00","","201872.931001467","486382.406688531","가축사육업","","312","000","0","한우",
"14","가축사육업","02_04_01_P","5600000","560000003320050266","2005-06-07","","03","폐업","0002","폐업","2026-01-12","","","","","0","487-840","경기도 포천시 화현면 지현리 ***","경기도 포천시 화현면 봉화로***번길 **","","미래목장","2026-01-23 18:03:11","U","2026-01-25 02:40:00","","222934.734097329","491444.740976172","가축사육업","","486","000","0","젖소",
"15","가축사육업","02_04_01_P","4751000","475100003320070135","2007-12-06","","01","영업/정상","0000","정상","","","","","","0","597-851","전북특별자치도 장수군 천천면 장판리 ***-*","전북특별자치도 장수군 천천면 장천로 ***-**","55609","민서농장","2026-01-23 16:34:58","U","2026-01-25 02:40:00","","246615.572012499","243568.537252366","가축사육업","","1901","000","0","돼지",
"16","가축사육업","02_04_01_P","4701000","470100003320070097","2007-12-12","","03","폐업","0002","폐업","2026-01-23","","","","","0","590-932","전북특별자치도 남원시 송동면 송내리 ***-**","전북특별자치도 남원시 송동면 송내사촌길 ***-***","","수영농장","2026-01-23 16:22:22","U","2026-01-25 02:40:00","","231663.76561236","205389.61986873","가축사육업","","838","000","0","육계",
"17","가축사육업","02_04_01_P","4291000","429000003320150005","2015-03-04","","01","영업/정상","0000","정상","","","","","033-562-8055","","233-801","강원특별자치도 정선군 정선읍 가수리 산 ***","강원특별자치도 정선군 정선읍 하미길 ***-*","26134","이문현농장","2026-01-23 15:20:46","U","2026-01-25 02:40:00","","342840.964426099","423634.866856122","가축사육업","","715","000","0","염소",
"18","가축사육업","02_04_01_P","4291000","429000003320130039","2013-08-19","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 정선군 신동읍 가사리 ***-* ,***-*,***-*","강원특별자치도 정선군 신동읍 원가사길 **","","원재농장","2026-01-23 09:44:57","U","2026-01-25 02:40:00","","347415.929361288","416310.680902122","가축사육업","","169","000","0","한우",
"19","가축사육업","02_04_01_P","4291000","429000003320170013","2017-05-31","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 정선군 정선읍 봉양리 ***-*","강원특별자치도 정선군 정선읍 세대길 **-*","26120","오리장 촌닭","2026-01-23 11:33:55","U","2026-01-25 02:40:00","","345783.387963324","432566.002708757","가축사육업","","743","000","0","육계",
"20","가축사육업","02_04_01_P","4291000","429000003320170017","2017-12-20","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 정선군 정선읍 귤암리 ***-*","강원특별자치도 정선군 정선읍 옷바우길 ***-*","26134","동무지농장","2026-01-23 15:52:16","U","2026-01-25 02:40:00","","339355.052169005","427681.350638179","가축사육업","","747","000","0","산양",
"21","가축사육업","02_04_01_P","4251000","425000003320100055","2010-06-14","","01","영업/정상","0000","정상","","","","","","0","250-814","강원특별자치도 홍천군 화촌면 내삼포리 ****-*","","","찬연목장","2026-01-23 11:41:33","U","2026-01-25 02:40:00","","285721.700569106","472501.44609563","가축사육업","","982","000","0","한우",
"22","가축사육업","02_04_01_P","5190000","519000003320050019","2005-03-03","","03","폐업","0002","폐업","2026-01-20","","","","372-4914","0","714-851","경상북도 청도군 이서면 대전리 ***","경상북도 청도군 이서면 상대전길 *-*","","대전축산","2026-01-23 15:13:40","U","2026-01-25 02:40:00","","347837.893018649","240965.441372053","가축사육업","","142","000","0","한우",
"23","가축사육업","02_04_01_P","5090000","509000003320080126","2008-07-04","","01","영업/정상","0000","정상","","","","","054-637-1507","0","750-871","경상북도 영주시 안정면 내줄리 ***","경상북도 영주시 안정면 용주로 ****-**","","구억농장","2026-01-23 14:11:05","U","2026-01-25 02:40:00","","338597.705774694","372077.782972301","가축사육업","","943","000","0","한우",
"24","가축사육업","02_04_01_P","5150000","515000003320050265","2005-12-27","","03","폐업","0002","폐업","2026-01-23","","","","861-4665","0","769-961","경상북도 의성군 단밀면 생송리 ****-*","경상북도 의성군 단밀면 도안로 ***-**","37375","송실농장","2026-01-23 15:46:42","U","2026-01-25 02:40:00","","318243.612706904","318763.722999506","가축사육업","","376","000","0","한우",
"25","가축사육업","02_04_01_P","5150000","515000003320090009","2009-01-05","","01","영업/정상","0000","정상","","","","","","0","769-972","경상북도 의성군 다인면 달제리 ***-*","경상북도 의성군 다인면 자미로 ***","37301","달제농장","2026-01-23 16:21:42","U","2026-01-25 02:40:00","","324197.57891388","331357.215630747","가축사육업","","773","000","0","한우",
"26","가축사육업","02_04_01_P","5350000","535000003320130022","2013-06-28","","01","영업/정상","0000","정상","","","","","","","621-823","경상남도 김해시 생림면 생림리 ***-*","경상남도 김해시 생림면 장재로 ***-**","","근선농장3","2026-01-23 12:14:09","U","2026-01-25 02:40:00","","366605.14631085","204132.024796961","가축사육업","","1062","000","0","한우",
"27","가축사육업","02_04_01_P","4080000","408000003320230009","2023-06-05","","03","폐업","0002","폐업","2026-01-22","","","","","","","경기도 안성시 대덕면 명당리 ***-*","경기도 안성시 대덕면 선인장길 ***-**","17542","영우농장3","2026-01-23 09:16:13","U","2026-01-25 02:40:00","","219260.424434408","392461.639607205","가축사육업","","2826","L00","0","한우",
"28","가축사육업","02_04_01_P","4080000","408000003320230010","2023-06-05","","03","폐업","0002","폐업","2026-01-22","","","","","","","경기도 안성시 대덕면 명당리 ***-*","경기도 안성시 대덕면 선인장길 ***-**","17542","영우농장2","2026-01-23 09:15:49","U","2026-01-25 02:40:00","","219399.214378026","392562.195307071","가축사육업","","2827","L00","0","한우",
"29","가축사육업","02_04_01_P","4191000","419000003320140137","2014-02-05","","01","영업/정상","0000","정상","","","","","","","220-921","강원특별자치도 원주시 호저면 고산리 ***","강원특별자치도 원주시 호저면 송골길 ***","26302","박석궁농장","2026-01-23 15:42:37","U","2026-01-25 02:40:00","","281897.40793699","438723.941459034","가축사육업","","933","000","0","한우",
"30","가축사육업","02_04_01_P","4191000","419000003320050252","2005-07-19","","01","영업/정상","0000","정상","","","","","033-732-5736","0","220-807","강원특별자치도 원주시 문막읍 취병리 ***-*","강원특별자치도 원주시 문막읍 작달막길 ***","","취병끝농장","2026-01-23 15:24:56","U","2026-01-25 02:40:00","","269656.632417254","427245.421244999","가축사육업","","296","000","0","한우",
"31","가축사육업","02_04_01_P","4191000","419000003320090010","2009-01-22","","01","영업/정상","0000","정상","","","","","","0","220-922","강원특별자치도 원주시 호저면 옥산리 **","","","정골농장","2026-01-23 11:31:08","U","2026-01-25 02:40:00","","282668.508645475","438352.511205605","가축사육업","","611","000","0","한우",
"32","가축사육업","02_04_01_P","4191000","419000003320210015","2021-11-19","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 원주시 문막읍 후용리 ****","","","반딧농장","2026-01-23 15:18:15","U","2026-01-25 02:40:00","","271255.821106035","420306.989311616","가축사육업","","1265","000","0","한우",
"33","가축사육업","02_04_01_P","5150000","515000003320110039","2011-04-04","","01","영업/정상","0000","정상","","","","","","0","769-940","경상북도 의성군 구천면 미천리 ***","경상북도 의성군 구천면 거북이길 **","37367","우영축업","2026-01-23 16:05:22","U","2026-01-25 02:40:00","","329249.551680971","317608.479343004","가축사육업","","1008","000","0","한우",
"34","가축사육업","02_04_01_P","4850000","485000003320050111","2005-05-30","","01","영업/정상","0000","정상","","","","","","0","517-842","전라남도 담양군 무정면 오례리 *** , ***-*, ***-*, ***-*, ***-**, ***-*번지","","","수희농장","2026-01-23 15:11:09","U","2026-01-25 02:40:00","","208365.886549579","196496.626499017","가축사육업","","122","000","0","한우",
"35","가축사육업","02_04_01_P","4920000","492000003320130141","2013-09-30","","01","영업/정상","0000","정상","","","","2017-11-09","","","","전라남도 강진군 칠량면 영동리 ** , **-*, **-*","전라남도 강진군 칠량면 삼흥길 ***-***","59258","흥인농장","2026-01-23 11:13:56","U","2026-01-25 02:40:00","","183836.882326997","121521.394428489","가축사육업","","1485","000","0","육계",
"36","가축사육업","02_04_01_P","4930000","493000003320160017","2016-09-13","","03","폐업","0002","폐업","2026-01-23","","","","","","","","전라남도 해남군 해남읍 신안길 **","59044","승일축산","2026-01-23 16:29:25","U","2026-01-25 02:40:00","","164070.036552882","118420.065203805","가축사육업","","1451","000","0","한우",
"37","가축사육업","02_04_01_P","4830000","483000003320051045","2005-12-27","","01","영업/정상","0000","정상","","","","","","0","520-890","전라남도 나주시 공산면 상방리 ** 외 *필지(**-**)","전라남도 나주시 공산면 상방길 ***-**","58300","광석농장","2026-01-23 09:21:41","U","2026-01-25 02:40:00","","165635.952609568","158500.137619229","가축사육업","","1097","000","0","한우",
"38","가축사육업","02_04_01_P","4910000","491000003320050348","2005-12-29","","02","휴업","0001","휴업","","2026-01-23","2029-01-23","","061-867-3378","0","","전라남도 장흥군 대덕읍 가학리 ***-* , ***-*, ***-*, ***-*, ***-*","","",".","2026-01-23 15:01:12","U","2026-01-25 02:40:00","","190277.009533758","110822.28633539","가축사육업","","431","000","0","한우",
"39","가축사육업","02_04_01_P","4910000","491000003320050305","2005-12-28","","01","영업/정상","0000","정상","","","","","061-867-2739","0","529-875","전라남도 장흥군 관산읍 옥당리 ***-**","전라남도 장흥군 관산읍 옥당신촌길 **","","없음","2026-01-23 16:15:04","U","2026-01-25 02:40:00","","193460.875060469","118536.413555256","가축사육업","","388","000","0","한우",
"40","가축사육업","02_04_01_P","4910000","491000003320090269","2009-12-24","","01","영업/정상","0000","정상","","","","","","0","529-902","전라남도 장흥군 대덕읍 연정리 ****-*","전라남도 장흥군 대덕읍 산정구평길 ***","","없음","2026-01-23 14:38:53","U","2026-01-25 02:40:00","","189712.571403212","111639.26629658","가축사육업","","1201","000","0","한우",
"41","가축사육업","02_04_01_P","4900000","490000003320130406","2013-09-06","","01","영업/정상","0000","정상","","","","","061-372-7669","","519-851","전라남도 화순군 춘양면 가봉리 ***","전라남도 화순군 춘양면 개천로 ***-**","58159","무","2026-01-23 10:38:58","U","2026-01-25 02:40:00","","195912.247992238","159627.392303138","가축사육업","","1004","000","0","한우",
"42","가축사육업","02_04_01_P","4810000","481000003320160365","2016-03-07","","02","휴업","0001","휴업","","2026-01-22","2027-01-21","","","","556-824","전라남도 여수시 화양면 용주리 ***","","","한우농장","2026-01-23 14:43:01","U","2026-01-25 02:40:00","","258090.720542355","135493.064823376","가축사육업","","920","000","0","한우",
"43","가축사육업","02_04_01_P","4440000","444000003320200001","2020-01-03","","03","폐업","0002","폐업","2026-01-23","","","","","","","충청북도 영동군 용산면 천작리 ***-*","충청북도 영동군 용산면 천작*길 **-*","29107","김주섭","2026-01-23 17:39:08","U","2026-01-25 02:40:00","","272572.858506128","308363.639093345","가축사육업","","534","000","0","메추리",
"44","가축사육업","02_04_01_P","5240000","524000003320200008","2020-03-02","","03","폐업","0002","폐업","2025-05-21","","","","","","","경상북도 봉화군 봉화읍 적덕리 ****","경상북도 봉화군 봉화읍 소지길 ***","36235","1004 우사","2026-01-23 17:36:02","U","2026-01-25 02:40:00","","350708.044113627","379884.58899713","가축사육업","","1134","000","0","한우",
"45","가축사육업","02_04_01_P","5330000","533000003320050007","2005-06-30","","02","휴업","0001","휴업","","2026-01-23","2028-11-30","","","0","650-814","경상남도 통영시 도산면 수월리 ***","경상남도 통영시 도산면 도산일주로 ****-***","53004","정하농장","2026-01-23 17:48:51","U","2026-01-25 02:40:00","","321910.355575064","155438.615105137","가축사육업","","15","000","0","한우",
"46","가축사육업","02_04_01_P","4781000","478100003320060033","2006-08-30","","01","영업/정상","0000","정상","","","","","","0","585-822","전북특별자치도 고창군 흥덕면 송암리 ***-*","전북특별자치도 고창군 흥덕면 야동길 **","56415","개화농장","2026-01-23 14:51:45","U","2026-01-25 02:40:00","","172876.810422173","222914.243533669","가축사육업","","423","000","0","한우",
"47","가축사육업","02_04_01_P","5310000","531000003320050240","2005-10-10","","01","영업/정상","0000","정상","","2025-04-18","2026-04-17","","","0","","경상남도 진주시 대곡면 단목리 *** , ***-*, ***, ***-*","경상남도 진주시 대곡면 오방로 ***-**","52606","대곡농장2","2026-01-23 20:11:07","U","2026-01-25 02:40:00","","303605.824211904","196596.785260533","가축사육업","","258","000","0","한우",
"48","가축사육업","02_04_01_P","4950000","495000003320250010","2025-07-22","","01","영업/정상","0000","정상","","","","","","","","전라남도 무안군 몽탄면 봉산리 *** , ***","전라남도 무안군 몽탄면 봉산길 **-**","58547","-","2026-01-23 09:22:27","U","2026-01-25 02:40:00","","156840.958829652","164183.102310232","가축사육업","","2756","000","0","한우",
"49","가축사육업","02_04_01_P","5470000","547000003320210035","2021-05-04","","01","영업/정상","0000","정상","","","","","","","","경상남도 거창군 마리면 월계리 ***-*","","","무","2026-01-23 17:20:49","U","2026-01-25 02:40:00","","276276.716706448","245288.961149707","가축사육업","","2065","000","0","한우",
"50","가축사육업","02_04_01_P","4930000","493000003320210032","2021-05-12","","03","폐업","0002","폐업","2026-01-23","","","","","","","전라남도 해남군 산이면 부동리 *** 지내","","","경민농장","2026-01-23 16:30:58","U","2026-01-25 02:40:00","","143672.300091202","129491.057464692","가축사육업","","1741","000","0","한우",
"51","가축사육업","02_04_01_P","5400000","540000003320050018","2005-03-30","","01","영업/정상","0000","정상","","","","","","0","637-812","경상남도 함안군 함안면 봉성리 ***","경상남도 함안군 함안면 봉성*길 **","52054","금천농장","2026-01-23 09:27:34","U","2026-01-25 02:40:00","","330041.673282595","193602.164083335","가축사육업","","24","000","0","돼지",
"52","가축사육업","02_04_01_P","5530000","553000003320050115","2005-03-22","","01","영업/정상","0000","정상","","","","","","0","445-873","경기도 화성시 송산면 육일리 *** ,***","경기도 화성시 송산면 화성로 ***-*","18552","612한우농장","2026-01-23 16:46:02","U","2026-01-25 02:40:00","","175422.917845176","410947.76436234","가축사육업","","262","000","0","한우",
"53","가축사육업","02_04_01_P","4160000","416000003320130138","2013-11-05","","02","휴업","0001","휴업","","2026-01-23","2027-01-22","","","","477-852","경기도 가평군 설악면 설곡리 ***","경기도 가평군 설악면 봉미산안길 ***-**","","근원목장","2026-01-23 14:26:44","U","2026-01-25 02:40:00","","247372.001348488","457382.462210066","가축사육업","","688","000","0","한우",
"54","가축사육업","02_04_01_P","5230000","523000003320250019","2025-06-17","","01","영업/정상","0000","정상","","","","","","","","경상북도 예천군 은풍면 탑리 ***-*","","","용두농장","2026-01-23 10:02:09","U","2026-01-25 02:40:00","","329253.942365754","362754.952646017","가축사육업","","2910","000","0","염소",
"55","가축사육업","02_04_01_P","4440000","444000003320250006","2025-06-11","","01","영업/정상","0000","정상","","","","","","","","충청북도 영동군 영동읍 산이리 **","","29129","코리아흑염소","2026-01-23 14:22:30","U","2026-01-25 02:40:00","","268878.113943852","302245.726369519","가축사육업","","634","000","0","염소",
"56","가축사육업","02_04_01_P","4830000","483000003320220027","2022-09-16","","01","영업/정상","0000","정상","","","","","","","","전라남도 나주시 봉황면 용전리 ***-* 외 *필지(***-*)","","","의성축산농협(김지현)농장","2026-01-23 09:37:53","U","2026-01-25 02:40:00","","178894.795691605","163963.022005285","가축사육업","","3711","L00","0","한우",
"57","가축사육업","02_04_01_P","4900000","490000003320210004","2021-02-25","","03","폐업","0002","폐업","2026-01-22","","","","061-374-1470","","","전라남도 화순군 동복면 구암리 ***-*","전라남도 화순군 동복면 구암주산길 **-**","58102","화순축산업협동조합(생축장)","2026-01-23 09:36:08","U","2026-01-25 02:40:00","","211935.162432489","171182.594089723","가축사육업","","1337","L00","0","한우",
"58","가축사육업","02_04_01_P","4400000","440000003320140041","2014-02-12","","03","폐업","0002","폐업","2026-01-23","","","","","","390-270","충청북도 제천시 흑석동 ***-*","충청북도 제천시 흑석무도로*길 ** (흑석동)","27129","삼형제농장","2026-01-23 09:11:51","U","2026-01-25 02:40:00","","310738.120555007","406052.955232719","가축사육업","","447","000","0","한우",
"59","가축사육업","02_04_01_P","4080000","408000003320050338","2005-04-01","","03","폐업","0002","폐업","2026-01-22","","","","","0","456-851","경기도 안성시 대덕면 명당리 ***-*","경기도 안성시 대덕면 선인장길 ***-**","17542","제2청우농장","2026-01-23 09:16:43","U","2026-01-25 02:40:00","","219200.952541231","392551.205904076","가축사육업","","378","L00","0","한우",
"60","가축사육업","02_04_01_P","4080000","408000003320100062","2010-08-06","","03","폐업","0002","폐업","2026-01-20","","","","","0","456-913","경기도 안성시 일죽면 장암리 ***","","","춘배농장","2026-01-23 13:32:15","U","2026-01-25 02:40:00","","241423.241857844","397409.782133136","가축사육업","","2048","000","0","한우",
"61","가축사육업","02_04_01_P","4420000","442000003320170008","2017-06-13","","03","폐업","0002","폐업","2026-01-23","","","","","","","충청북도 보은군 수한면 오정리 **","충청북도 보은군 수한면 안내수한로 ***-**","28922","유정농장","2026-01-23 16:08:18","U","2026-01-25 02:40:00","","259225.572512366","328324.061814986","가축사육업","","1166","000","0","한우",
"62","가축사육업","02_04_01_P","4470000","447000003320040119","2004-11-29","","01","영업/정상","0000","정상","","","","","","0","369-842","충청북도 음성군 생극면 방축리 ***","충청북도 음성군 생극면 방축길 **","27616","가람목장","2026-01-23 15:35:24","U","2026-01-25 02:40:00","","254335.487916894","395753.106594927","가축사육업","","127","000","0","한우",
"63","가축사육업","02_04_01_P","4080000","408000003320060032","2006-07-04","","01","영업/정상","0000","정상","","","","","","0","456-932","경기도 안성시 양성면 난실리 **-*","경기도 안성시 양성면 재인길 **-**","","부흥농장","2026-01-23 13:10:43","U","2026-01-25 02:40:00","","220432.50177579","400724.134331215","가축사육업","","1286","000","0","한우",
"64","가축사육업","02_04_01_P","4620000","462000003320210004","2021-01-29","","01","영업/정상","0000","정상","","","","","","","","충청남도 태안군 남면 당암리 ***-*","충청남도 태안군 남면 저드래길 ***-**","32156","한아름 농장","2026-01-23 15:47:08","U","2026-01-25 02:40:00","","139939.062979605","346307.926184426","가축사육업","","796","000","0","돼지",
