»ç¾÷Àå¸í,Æó¾÷ÀÏÀÚ,ÁÂÇ¥X,ÁÂÇ¥Y,µ¥ÀÌÅÍ°»½Å½ÃÁ¡,µ¥ÀÌÅÍ°»½Å±¸ºÐ,»ó¼¼¿µ¾÷»óÅÂÄÚµå,»ó¼¼¿µ¾÷»óÅÂ¸í,ÃÖÁ¾¼öÁ¤½ÃÁ¡,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,ÀÎÇã°¡ÀÏÀÚ,¼ÒÀçÁö¿ìÆí¹øÈ£,Áö¹øÁÖ¼Ò,°ü¸®¹øÈ£,°³¹æÀÚÄ¡´ÜÃ¼ÄÚµå,µµ·Î¸íÁÖ¼Ò,µµ·Î¸í¿ìÆí¹øÈ£,¿µ¾÷»óÅÂ±¸ºÐÄÚµå,¿µ¾÷»óÅÂ¸í,ÈÞ¾÷½ÃÀÛÀÏÀÚ,ÈÞ¾÷Á¾·áÀÏÀÚ,¼ÒÀçÁöÀüÈ­¹øÈ£,ÃÑ±Ô¸ð
¿¡ÀÌÄ¡µ§Å»,2025-06-27,207666.878836451,455135.800669899,2026-04-26 22:32:21,I,03,Æó¾÷,2025-06-25 09:23:08,,2018-04-18,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ »óºÀµ¿ ***¹øÁö **È£ *Ãþ***È£,PHMG120183060034047000013,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ »óºÀÁß¾Ó·Î*±æ **, *Ãþ ***È£ (»óºÀµ¿)",02091,03,Æó¾÷,,,02-784-2877,
È£ÁÖ¸é¼¼Á¡ ³×ÀÌÃÄÀ§Å¬¸®,,207991.217387691,454169.82871287,2026-04-26 22:32:26,I,13,¿µ¾÷Áß,2021-11-05 10:59:12,,2021-11-04,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***-*,PHMG120213060034047000123,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ »óºÀ·Î**±æ **, *Ãþ (¸é¸ñµ¿)",02162,01,¿µ¾÷/Á¤»ó,,,,19.8
¼­¿ï¸ÞµðÄ®ÀÇ·á±â,,208580.409647184,456742.947541604,2026-04-26 22:32:27,I,13,¿µ¾÷Áß,2021-12-30 15:26:26,,2021-12-30,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»µ¿ *** ¼­¿ïÀÇ·á¿ø,PHMG120213060034047000140,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»·Î ***, ¼­¿ïÀÇ·á¿ø ÁöÇÏ*Ãþ (½Å³»µ¿)",02053,01,¿µ¾÷/Á¤»ó,,,,
GS25 Á¾·ÎÅ¸¿öÁ¡,2024-07-05,198286.311784052,452091.444332546,2026-04-26 22:32:32,I,03,Æó¾÷,2024-07-05 13:33:26,,2022-09-30,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã»Áøµ¿ ** ±×¶û¼­¿ï ÁöÇÏ***È£,PHMG120223000034047000187,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î **, ±×¶û¼­¿ï ÁöÇÏÃþ ***È£ (Ã»Áøµ¿)",03159,03,Æó¾÷,,,02-2158-7946,
»õ³¯ÀÎÅÍ·ºÆ¼ºê,2010-02-04,,,2026-04-26 22:32:04,I,03,Æó¾÷,2010-02-04 17:33:08,,2007-05-10,110-460,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¿¬°Çµ¿ ***¹øÁö ¸£³×ºôµù ***È£,PHMG120073000034047000011,3000000,,,03,Æó¾÷,,,02-471-4561,
»õÇÑ¸ÞµðÇÇ¾Æ,,200012.604277742,452993.281697632,2026-04-26 22:32:28,I,13,¿µ¾÷Áß,2021-08-04 14:17:22,,2010-04-19,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¿¬°Çµ¿ ** B**È£,PHMG120213000034047000106,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ´ëÇÐ·Î*±æ **, B**È£ (¿¬°Çµ¿)",03082,01,¿µ¾÷/Á¤»ó,,,02-2234-0012,
Ãµ±Ý»ó»ç¢ß,2005-11-04,206603.5155512,455447.368504941,2026-04-26 22:31:57,I,03,Æó¾÷,2009-07-23 14:50:31,,2004-03-02,131-882,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ÁßÈ­*µ¿ ***¹øÁö ***È£ B*È£,PHMG120043060034047000024,3060000,,,03,Æó¾÷,,,02-493-0777,52
½º¸¶ÅØÄÚ¸®¾Æ ÁÖ½ÄÈ¸»ç,,197567.93800572,452276.454633376,2026-04-26 22:32:26,I,13,¿µ¾÷Áß,2020-06-26 15:50:19,,2020-06-26,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ³»¼öµ¿ *** ´ë¿ìºôµù ***È£,PHMG120203000034047000046,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »õ¹®¾È·Î*±æ **, ´ë¿ìºôµù º¹ÇÕµ¿ ***È£ ÀÏºÎ (³»¼öµ¿)",03173,01,¿µ¾÷/Á¤»ó,,,02-538-6851,
gs25¸é¸ñ±Ý¼ºÁ¡,,207214.88344939,454330.678454039,2026-04-26 22:32:32,I,13,¿µ¾÷Áß,2022-09-27 15:19:38,,2022-09-27,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***-*,PHMG120223060034047000202,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ºÀ¿ìÀç·Î**°¡±æ **, *Ãþ (¸é¸ñµ¿)",02143,01,¿µ¾÷/Á¤»ó,,,,26
(ÁÖ)ÄÚ¸®¾Æ¼¼ºì Å¾°ñ°ø¿øÁ¡,2019-10-16,199001.895945417,452078.522023565,2026-04-26 22:32:16,I,03,Æó¾÷,2019-10-17 09:02:29,,2014-11-03,110-320,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ³«¿øµ¿ ***¹øÁö,PHMG120143000034047000058,3000000,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼öÇ¥·Î *** (³«¿øµ¿),03139,03,Æó¾÷,,,02-745-6003,
ÁÖ½ÄÈ¸»ç ÀÚ¾Ö¸ÞµðÄ®,2018-04-23,199321.4036677,451985.646550196,2026-04-26 22:32:16,I,03,Æó¾÷,2018-04-23 13:36:21,,2014-10-21,110-123,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ ***¹øÁö *Ãþ,PHMG120143000034047000041,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î ***, *Ãþ (Á¾·Î*°¡)",03193,03,Æó¾÷,,,02-2617-2618,
KS¸ÞµðÄ®,2007-10-31,208608.523141255,455289.134255653,2026-04-26 22:31:56,I,03,Æó¾÷,2009-07-22 09:53:07,,2001-01-30,131-810,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìº»µ¿ ***¹øÁö *È£,PHMG120013060034047000007,3060000,,,03,Æó¾÷,,,02-844-1249,12.6
À¯ÇÑÀÇ·á±â,2009-06-10,,,2026-04-26 22:32:05,I,03,Æó¾÷,2009-06-18 10:29:27,,2007-09-20,110-430,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Àå»çµ¿ ** °í·Áºôµù *Ãþ ***È£,PHMG120073000034047000034,3000000,,,03,Æó¾÷,,,,
µå¸²¶óÀÌÇÁ,2006-09-27,208658.077732594,454894.790220198,2026-04-26 22:31:59,I,03,Æó¾÷,2009-07-27 09:05:20,,2006-08-11,131-809,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìº»µ¿ ***¹øÁö ¿ë¸¶ÇÁ¶óÀÚ ÁöÇÏ**È£,PHMG120063060034047000043,3060000,,,03,Æó¾÷,,,02-437-2268,
¸ÅÀÏÇï½º´ºÆ®¸®¼Ç(ÁÖ),2026-04-20,198101.593328721,452496.362099822,2026-04-26 22:32:33,I,03,Æó¾÷,2026-04-20 17:54:34,,2023-02-21,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÁßÇÐµ¿ ** ´õÄÉÀÌÆ®À©Å¸¿ö,PHMG120233000034047000013,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*±æ **, ´õÄÉÀÌÆ®À©Å¸¿ö Aµ¿ *Ãþ (ÁßÇÐµ¿)",03142,03,Æó¾÷,,,080-860-1539,
½Ã´ëº¸Ã»±â,2015-10-29,198751.053912826,451962.484078847,2026-04-26 22:32:08,I,03,Æó¾÷,2015-10-29 15:09:56,,2009-07-06,110-122,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ **¹øÁö *È£ ºÎºÀºôµù ***È£,PHMG120093000034047000026,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î **-* (Á¾·Î*°¡,ºÎºÀºôµù ***È£)",,03,Æó¾÷,,,,
CU ¼þÀÎ2µ¿Á¡,,201679.88532613,452481.882944225,2026-04-26 22:32:28,I,13,¿µ¾÷Áß,2022-02-16 13:46:12,,2022-02-14,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼þÀÎµ¿ ***-**,PHMG120223000034047000057,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î ***, *Ãþ (¼þÀÎµ¿)",03112,01,¿µ¾÷/Á¤»ó,,,,
SMAD(½º¸Þµå)ÅØ½º,,200278.353783492,452242.710933162,2026-04-26 22:32:34,I,13,¿µ¾÷Áß,2024-03-28 13:50:47,,2024-03-20,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ È¿Á¦µ¿ ***,PHMG120243000034047000015,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î**±æ **, ***È£ (È¿Á¦µ¿)",03126,01,¿µ¾÷/Á¤»ó,,,02-389-6866,
(ÁÖ)¿¡½ººñÅë»ó,,199884.924610815,453572.123373062,2026-04-26 22:32:35,I,13,¿µ¾÷Áß,2025-03-18 16:53:14,,2025-03-18,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û*°¡ * ¾îÁ©¸®¾Æ ¸í·û*,PHMG120253000034047000017,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î ***-*, *Ãþ *È£ (¸í·û*°¡, ¾îÁ©¸®¾Æ ¸í·û*)",03075,01,¿µ¾÷/Á¤»ó,,,,
Æ®¶óÀÌ½ºÄÚÆÛ·¹ÀÌ¼Ç,2010-02-10,207990.479257211,457183.637796144,2026-04-26 22:32:03,I,03,Æó¾÷,2010-02-10 10:04:55,,2009-02-25,131-871,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»*µ¿ ***¹øÁö µð¾Æ¶ß°¶·¯¸® ***È£,PHMG120093060034047000012,3060000,,,03,Æó¾÷,,,070-7561-1122,
¾î¿¬¸¶·ç¿Õ¶ä¹æ,2017-12-19,196496.678589669,455761.088102828,2026-04-26 22:32:15,I,03,Æó¾÷,2017-12-19 15:57:28,,2013-09-12,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ½Å¿µµ¿ **¹øÁö *Ãþ,PHMG120133000034047000056,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÁøÈï·Î ***, *Ãþ (½Å¿µµ¿)",03014,03,Æó¾÷,,,02-395-2378,
¸¶¸¶ÅåÁÖ½ÄÈ¸»ç,,207466.548111085,454666.521671464,2026-04-26 22:32:17,I,15,ÀüÃâ,2016-10-06 17:34:30,,2016-03-22,,,PHMG120153060034047000087,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ·Î**±æ **, *Ãþ (»óºÀµ¿)",02138,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,02-6959-6363,89.96
°¡¼öÅä Æ®·¹ÀÌ´×,,199670.979884558,452221.775006084,2026-04-26 22:32:34,I,13,¿µ¾÷Áß,2024-01-09 09:26:02,,2024-01-08,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎÀÇµ¿ ***-* ¼¼¿î½ºÄù¾î,PHMG120243000034047000001,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î ***, ¼¼¿î½ºÄù¾î ***È£ (ÀÎÀÇµ¿)",03137,01,¿µ¾÷/Á¤»ó,,,,
½¡ÀÇÈû,,206771.217305763,455221.989517331,2026-04-26 22:32:18,I,15,ÀüÃâ,2017-09-28 14:27:10,,2016-09-28,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ÁßÈ­µ¿ ***¹øÁö *È£ ***È£,PHMG120163060034047000058,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î***±æ **, ***~***È£ (ÁßÈ­µ¿, ÅÂ´É¿¡¼Àºô)",02104,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,02-465-3335,
¼¼ºìÀÏ·¹ºì °æº¹±ÃÁ¡,,198153.04455191,452851.204245035,2026-04-26 22:32:27,I,13,¿µ¾÷Áß,2025-10-20 16:48:10,,2021-05-03,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »ç°£µ¿ ** ¿µÁ¤ºôµù,PHMG120213000034047000040,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »ïÃ»·Î **, ¿µÁ¤ºôµù *Ãþ (»ç°£µ¿)",03062,01,¿µ¾÷/Á¤»ó,,,02-733-0711,
ÁÖ½ÄÈ¸»ç µð ¿¡ÀÌºí Ä¿¸Ó½º,,206878.954486415,457076.155865512,2026-04-26 22:32:25,I,15,ÀüÃâ,2022-01-04 08:59:04,,2020-09-22,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¹¬µ¿ ***-* Áö½ºÅ¸ÆÓ¸®½º,PHMG120203060034047000064,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ Áß¶û¿ª·Î ***-**, *Ãþ ***È£ (¹¬µ¿, Áö½ºÅ¸ÆÓ¸®½º)",02032,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,02-6261-6300,23
¾¾Á¦ÀÌ¿Ã¸®ºê¿µ(ÁÖ) ¸Ô°ñ¿ªÁ¡,,206859.21503478,456654.831186357,2026-04-26 22:32:34,I,13,¿µ¾÷Áß,2024-08-19 17:12:09,,2024-08-19,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¹¬µ¿ ***-* ±¸»êºôµù,PHMG120243060034047000053,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ °ø¸ª·Î*±æ *, ±¸»êºôµù *Ãþ, *Ãþ ÀÏºÎÃþ (¹¬µ¿)",02034,01,¿µ¾÷/Á¤»ó,,,02-976-3164,
ÁÁÀº¼¼»ó Ä¿¸Ó½º,2017-07-03,206774.874230196,457011.632629502,2026-04-26 22:32:19,I,03,Æó¾÷,2017-07-03 10:31:50,,2017-05-11,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¹¬µ¿ ***¹øÁö *Ãþ,PHMG120173060034047000025,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ Áß¶û¿ª·Î *** (¹¬µ¿, *Ãþ)",02033,03,Æó¾÷,,,070-4820-6424,
ÀÌºêÀÌ¸ÞµåÅØ ÁÖ½ÄÈ¸»ç,,197288.633145983,453473.855293794,2026-04-26 22:32:19,I,15,ÀüÃâ,2023-03-31 10:55:10,,2016-03-14,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ½Å±³µ¿ **¹øÁö *È£ Æò¿øºôµù *Ãþ,PHMG120163000034047000019,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÚÇÏ¹®·Î **, *Ãþ (½Å±³µ¿, Æò¿øºôµù)",03035,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,02-6263-0070,
¾Ë¸¶ Çï½ºÄÉ¾î,2022-05-27,208267.592391698,455042.983909137,2026-04-26 22:32:23,I,03,Æó¾÷,2022-05-27 15:57:06,,2019-04-09,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìµ¿ ***¹øÁö ÇÑÀÏ½á³Ê½ººô¸®Á¨½Ã*´ÜÁö *Ãþ ****È£,PHMG120193060034047000018,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¿ë¸¶»ê·Î***±æ ***, *Ãþ ****È£ (¸Á¿ìµ¿, ÇÑÀÏ½á³Ê½ººô¸®Á¨½Ã*´ÜÁö)",02163,03,Æó¾÷,,,02-492-3810,
¿¡Ä¡¿ÍÀÌ(hy) ¸é¸ñÁ¡,2024-12-18,207125.075886514,452819.137963148,2026-04-26 22:32:28,I,03,Æó¾÷,2024-12-18 10:44:19,,2022-03-18,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***-**,PHMG120223060034047000089,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ »ç°¡Á¤·Î**±æ **, *Ãþ (¸é¸ñµ¿)",02241,03,Æó¾÷,,,070-4450-6318,
¸ÞµðÄÃ¿öÅÍ,2010-03-22,207990.479257211,457183.637796144,2026-04-26 22:31:59,I,03,Æó¾÷,2010-03-22 14:42:58,,2007-02-16,131-872,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»*µ¿ ***¹øÁö µð¾Æ¶ß°¶·¯¸® ***È£,PHMG120073060034047000002,3060000,,,03,Æó¾÷,,,02-3421-8616,
¿£ºñ(NB)ÄÚ¸®¾Æ,2014-02-03,208709.095189126,454753.402870475,2026-04-26 22:32:13,I,03,Æó¾÷,2014-02-03 16:51:44,,2013-09-02,131-808,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìµ¿ ***¹øÁö *È£ aµ¿ ÁöÇÏ,PHMG120133060034047000054,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¿ë¸¶»ê·Î ***, Aµ¿ ÁöÇÏ*Ãþ (¸Á¿ìµ¿)",,03,Æó¾÷,,,,
ÁÖ½ÄÈ¸»ç µµ¾î½ºÄÚ¸®¾Æ,,209316.017075885,455608.944271371,2026-04-26 22:32:26,I,13,¿µ¾÷Áß,2021-10-07 14:52:19,,2021-10-06,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìµ¿ ***-* ¿°±¤¾ÆÆÄÆ®,PHMG120213060034047000118,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ì·Î**±æ **, ÁöÇÏÃþ (¸Á¿ìµ¿, ¿°±¤¾ÆÆÄÆ®)",02064,01,¿µ¾÷/Á¤»ó,,,,285
GS25¸é¸ñ »ùÅÍÁ¡,,207285.783335763,452237.321233024,2026-04-26 22:32:29,I,13,¿µ¾÷Áß,2023-06-16 13:53:30,,2022-07-20,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***-* ´ëµ¿¸¶Æ®,PHMG120223060034047000167,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ·Î**±æ *, ´ëµ¿¸¶Æ® *Ãþ (¸é¸ñµ¿)",02246,01,¿µ¾÷/Á¤»ó,,,,
¼ÖÆ®ÄÚ¸®¾Æ,2017-06-30,207518.836843774,455604.158486813,2026-04-26 22:31:58,I,03,Æó¾÷,2017-07-07 16:35:45,,2006-02-20,131-862,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ »óºÀµ¿ ***-**¿Ü *ÇÊÁö, ÁöÃþ",PHMG120063060034047000004,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ºÀÈ­»ê·Î ***, ÁöÃþ (»óºÀµ¿)",02048,03,Æó¾÷,,,02-493-2441,
ºñ¿¥¸ÞµðÇÇ¾Æ,2021-01-21,208481.612667873,455496.980508789,2026-04-26 22:32:14,I,03,Æó¾÷,2021-01-21 15:14:53,,2014-08-11,131-869,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»µ¿ ***¹øÁö *È£ ´ë¸íÇÁ¶óÀÚ ***È£,PHMG120143060034047000045,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ºÀÈ­»ê·Î**±æ ***, ***È£ (½Å³»µ¿, ´ë¸íÇÁ¶óÀÚ)",02071,03,Æó¾÷,,,,
Áø¸ÞµðÄ®,2022-01-14,206994.154050121,455522.929612313,2026-04-26 22:32:20,I,03,Æó¾÷,2022-01-17 10:51:19,,2018-03-12,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ÁßÈ­µ¿ ***-** Ã»¿ø´Ù¹Ì¼Ò¾ÆÆÄÆ®,PHMG120183060034047000007,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î***±æ **, »ó°¡ ***È£ (ÁßÈ­µ¿, Ã»¿ø´Ù¹Ì¼Ò¾ÆÆÄÆ®)",02051,03,Æó¾÷,,,02-496-9906,
