사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
명화에너지,일반판매소,,206817.704551959,455778.555965735,2026-05-06 22:50:14,I,01,신규등록,2016-04-07 14:46:13,,2002-02-28,,서울특별시 중랑구 중화동 307-25,2002306007501200026,3060000,서울특별시 중랑구 동일로139가길 19 (중화동),,,01,영업/정상,,,02-432-0617
용마로주유소,주유소,,208073.001645036,453068.290387442,2026-05-06 22:50:15,I,01,신규등록,2023-11-02 15:05:46,,2002-08-05,473,서울특별시 중랑구 면목동 528 19통4반,2002306007501500002,3060000,서울특별시 중랑구 용마산로 309 (면목동),,,01,영업/정상,,,02-439-3038
신내주유소,주유소,,208848.343319635,456872.358630437,2026-05-06 22:50:15,I,07,영업개시,2026-04-02 10:33:31,,2006-08-01,933,서울특별시 중랑구 신내동 352,2002306007501500003,3060000,서울특별시 중랑구 용마산로 705 (신내동),,,01,영업/정상,,,02-2207-0523
대원주유소,주유소,,207006.122480012,453528.548106528,2026-05-06 22:50:15,I,06,휴지사업재개,2023-11-02 15:09:44,,2003-10-01,1392,서울특별시 중랑구 면목동 161-17,2003306007501500002,3060000,서울특별시 중랑구 동일로 600 (면목동),,2010-12-12,01,영업/정상,2010-11-01,2010-12-25,02-438-6111
오천만주유소,주유소,,206937.932562759,452983.43736388,2026-05-06 22:50:15,I,06,휴지사업재개,2025-09-15 08:57:44,,2007-01-31,554.8,서울특별시 중랑구 면목동 169-0003,2004306007501500024,3060000,서울특별시 중랑구 동일로 547 (면목동),,2012-09-11,01,영업/정상,2014-11-19,2014-11-23,02-2209-5132
경동에너지 판매,일반판매소,,207375.431284156,454422.111811383,2026-05-06 22:50:16,I,01,신규등록,2016-04-07 16:28:57,,2005-04-19,,서울특별시 중랑구 면목동 132-21,2005306007501200001,3060000,서울특별시 중랑구 봉우재로 100 (면목동),,,01,영업/정상,,,22097775
우림주유소,주유소,,208702.907738068,454708.36394533,2026-05-06 22:50:16,I,06,휴지사업재개,2025-07-10 09:06:15,,2006-04-20,576.2,서울특별시 중랑구 망우동 458-6,2005306007501500001,3060000,서울특별시 중랑구 용마산로 487 (망우동),,2019-07-01,01,영업/정상,2019-06-25,2019-06-30,02-433-9990
범아주유소,주유소,,206788.712362047,456333.948394976,2026-05-06 22:50:16,I,06,휴지사업재개,2023-11-02 15:07:09,,1993-12-08,679.4,서울특별시 중랑구 묵동 244-151,2005306007501500002,3060000,서울특별시 중랑구 동일로 881 (묵동),,,01,영업/정상,,,02-974-8356
금호티엔씨,용제판매소,,207180.865372091,455899.403891159,2026-05-06 22:50:16,I,01,신규등록,2013-12-26 15:36:55,,2008-10-16,0,서울특별시 중랑구 중화동 275-14 2통5반 3층,2008306009501500001,3060000,서울특별시 중랑구 동일로144가길 28-7 (중화동),,,01,영업/정상,,,
신일주유소,주유소,,208215.309352704,454296.43536491,2026-05-06 22:50:16,I,07,영업개시,2023-11-02 15:07:46,,2017-08-24,930.8,서울특별시 중랑구 망우동 523-4,2017306014501500001,3060000,서울특별시 중랑구 상봉로 58 (망우동),,,01,영업/정상,,,02-436-3651
평창광유,일반판매소,,196860.893154849,455863.128343879,2026-05-06 22:50:13,I,02,등록취소,2015-12-02 09:53:40,,1969-04-18,,서울특별시 종로구 평창동 300-1,1969300007601200001,3000000,서울특별시 종로구 세검정로 317 (평창동),,,04,취소/말소/만료/정지/중지,,,02-379-2228
자문석유,일반판매소,,196725.221696687,454871.130949303,2026-05-06 22:50:13,I,01,신규등록,2017-01-06 17:46:58,,1969-01-15,,서울특별시 종로구 부암동 162-1 6통6반,1969300007601200002,3000000,서울특별시 종로구 자하문로 245 (부암동),,,01,영업/정상,,,02-379-2352
인의석유,일반판매소,,199732.922358931,452435.513921974,2026-05-06 22:50:13,I,01,신규등록,2017-01-06 17:45:43,,1970-11-24,,서울특별시 종로구 인의동 2,1970300007601200004,3000000,서울특별시 종로구 창경궁로 134-2 (인의동),,,01,영업/정상,,,02-766-4446
주식회사 대양씨앤씨,주유소,,196980.50632047,452468.722637167,2026-05-06 22:50:13,I,01,신규등록,2020-02-18 15:30:36,,1973-12-28,603.29,서울특별시 종로구 사직동 262-85,1973300007601500001,3000000,서울특별시 종로구 사직로 65 (사직동),,,01,영업/정상,,,02-735-4858
(주)중앙에너비스혜화지점,주유소,,200024.77602584,453753.206651936,2026-05-06 22:50:14,I,06,휴지사업재개,2024-04-08 13:47:23,,1975-12-19,624,서울특별시 종로구 혜화동 102-2,1975300007601500001,3000000,서울특별시 종로구 창경궁로35길 1 (혜화동),,2024-04-03,01,영업/정상,,,070-8707-4563
대성석유,일반판매소,,,,2026-05-06 22:50:14,I,01,신규등록,2001-05-23 00:00:00,,1976-06-25,,서울특별시 종로구 명륜2가 71-2,1976300007601200006,3000000,,,,01,영업/정상,,,02-762-3365
다원,일반판매소,,200322.341016105,453141.774016418,2026-05-06 22:50:14,I,01,신규등록,2026-03-17 15:14:10,,1976-06-25,,서울특별시 종로구 동숭동 130-65,1976300007601200007,3000000,서울특별시 종로구 동숭길 52 (동숭동),,,01,영업/정상,,,
북악주유소 주식회사,주유소,,197714.057733244,456392.885561665,2026-05-06 22:50:15,I,01,신규등록,2025-01-21 09:44:17,,1993-07-03,432,서울특별시 종로구 평창동 103-1,1993300007601500001,3000000,서울특별시 종로구 평창문화로 137 (평창동),,,01,영업/정상,,,02-395-6500
안풍주유소,주유소,,196322.52833049,455210.552274216,2026-05-06 22:50:15,I,01,신규등록,2025-04-29 10:50:26,,1993-08-07,512.12,서울특별시 종로구 홍지동 126-1,1993300007601500002,3000000,서울특별시 종로구 자하문로 303 (홍지동),,,01,영업/정상,,,02-396-5055
자하문주유소,주유소,,196777.054251507,454890.467554923,2026-05-06 22:50:15,I,06,휴지사업재개,2024-05-17 17:23:11,,1993-08-07,1561,서울특별시 종로구 부암동 155-3,1993300007601500003,3000000,서울특별시 종로구 자하문로 248 (부암동),,2018-06-15,01,영업/정상,2018-04-10,2018-05-20,02-396-5252
(주)지에스이앤알 평창주유소,주유소,,197680.037565853,456378.639524349,2026-05-06 22:50:15,I,01,신규등록,2026-02-19 15:09:23,,1994-02-24,746.72,서울특별시 종로구 평창동 80-1,1994300007601500001,3000000,서울특별시 종로구 평창문화로 135 (평창동),,,01,영업/정상,,,070-8874-0602
(주)한화미 구도일주유소 특종,주유소,,197378.465556883,456040.720889756,2026-05-06 22:50:15,I,06,휴지사업재개,2025-11-05 16:56:03,,1996-04-25,714,서울특별시 종로구 평창동 198-1,1996300007601500001,3000000,서울특별시 종로구 평창문화로 90 (평창동),,2017-12-26,01,영업/정상,2017-12-06,2018-01-15,02-379-6524
재동석유상사(주),일반판매소,,198994.379758971,452565.80399988,2026-05-06 22:50:15,I,01,신규등록,2017-01-06 17:40:37,,1999-11-16,,서울특별시 종로구 익선동 21,1999300007601200001,3000000,서울특별시 종로구 돈화문로11나길 66 (익선동),,,01,영업/정상,,,02-739-6283
(주)진세상사,항공유판매소,,198624.006469032,452310.752960617,2026-05-06 22:50:16,I,01,신규등록,2021-02-19 16:48:35,,2015-11-25,,서울특별시 종로구 관훈동 197-28 백상빌딩 별관동 1102호,2015300017001200001,3000000,"서울특별시 종로구 인사동7길 12, 백상빌딩 별관동 11층 1102호 (관훈동)",03149,,01,영업/정상,,,02-543-0394
현대종합상사(주),항공유판매소,,198207.000041476,452455.833165185,2026-05-06 22:50:16,I,01,신규등록,2018-08-10 11:34:32,,2018-08-08,,서울특별시 종로구 수송동 110,2018300017001200001,3000000,서울특별시 종로구 율곡로2길 25 (수송동),03143,,01,영업/정상,,,02-390-1718
(주)영원에너지 풍기주유소 (대표자:박종영),주유소,,196633.605454881,448152.68589887,2026-05-06 22:50:10,I,01,신규등록,2025-11-19 10:40:59,,1976-05-26,595,서울특별시 용산구 원효로2가 70-2,1976302007401500005,3020000,서울특별시 용산구 원효로 178 (원효로2가),,,01,영업/정상,,,02-719-2202
한국석유공업(주) 한석주유소,주유소,,196885.500802799,446573.556869158,2026-05-06 22:50:10,I,01,신규등록,2025-11-19 10:43:20,,1976-05-17,1019,서울특별시 용산구 이촌동 302-79 SK주유소,1976302007401500007,3020000,"서울특별시 용산구 이촌로 164, SK주유소 (이촌동)",04427,,01,영업/정상,,,02-790-1020
주식회사 중앙에너비스 에너비스,주유소,,200471.903312912,448199.065849486,2026-05-06 22:50:10,I,01,신규등록,2025-11-19 10:44:32,,1976-05-26,882,서울특별시 용산구 한남동 707-14,1976302007401500010,3020000,서울특별시 용산구 한남대로 82 (한남동),,,01,영업/정상,,,02-795-8484
(주)남경주유소,주유소,,199330.560093609,446670.60098533,2026-05-06 22:50:10,I,01,신규등록,2025-11-27 10:46:34,,1976-05-24,1821,서울특별시 용산구 서빙고동 37,1976302007401500011,3020000,서울특별시 용산구 녹사평대로11길 24 (서빙고동),,,01,영업/정상,,,02-793-2954
대성석유,일반판매소,,196760.433383755,450045.800889568,2026-05-06 22:50:10,I,06,휴지사업재개,2024-04-22 20:47:36,,1979-05-25,,서울특별시 용산구 서계동 243-29,1979302007401200008,3020000,서울특별시 용산구 만리재로 154 (서계동),,2024-04-23,01,영업/정상,,,02-716-2231
주식회사 금호에너지,일반판매소,,199680.420722944,447095.537114027,2026-05-06 22:50:11,I,01,신규등록,2022-12-27 14:56:26,,1988-11-14,,서울특별시 용산구 보광동 387-1,1988302007401200001,3020000,서울특별시 용산구 장문로17길 1 (보광동),,,01,영업/정상,,,02-554-5352
에이치디현대오일뱅크(주)직영 소월길주유소,주유소,,197964.424093521,450238.200889239,2026-05-06 22:50:12,I,01,신규등록,2025-11-19 10:38:28,,1995-12-15,386,서울특별시 용산구 후암동 448-103,1993302007401500001,3020000,서울특별시 용산구 소월로 66 (후암동),,,01,영업/정상,,,02-318-3314
(주)신태성주유소,주유소,,196326.996964933,448040.140460283,2026-05-06 22:50:12,I,01,신규등록,2025-11-19 10:41:34,,1993-12-15,910,서울특별시 용산구 원효로3가 43-3,1993302007401500002,3020000,서울특별시 용산구 원효로 147 (원효로3가),,,01,영업/정상,,,02-701-9446
한남석유,일반판매소,,200646.877707817,447630.977273015,2026-05-06 22:50:13,I,01,신규등록,2016-01-13 10:40:25,,1995-10-11,,서울특별시 용산구 한남동 116-7,1995302007401200001,3020000,서울특별시 용산구 독서당로8길 7 (한남동),,,01,영업/정상,,,02-797-5495
한국에너지,일반판매소,,198307.672723222,449309.747889456,2026-05-06 22:50:13,I,02,등록취소,2009-09-30 17:33:33,,1997-01-23,,서울특별시 용산구 용산동2가 1-454,1997302007401200001,3020000,서울특별시 용산구 신흥로 143-1  (용산동2가),,,04,취소/말소/만료/정지/중지,,,02-757-6431
쌍용석유,일반판매소,2026-04-13,196200.099737911,447987.019176963,2026-05-06 22:50:13,I,03,폐지,2026-04-13 17:40:42,,2000-05-26,,서울특별시 용산구 원효로3가 99,2000302007401200001,3020000,서울특별시 용산구 원효로 133 (원효로3가),04363,,03,폐업,,,02-712-5500
선익상사(주) 동자동주유소,주유소,,197480.045243754,449769.124271782,2026-05-06 22:50:14,I,01,신규등록,2025-11-19 10:39:18,,1976-04-30,748.98,서울특별시 용산구 동자동 14-125,2001302007401500003,3020000,서울특별시 용산구 한강대로104길 6 (동자동),,,01,영업/정상,,,02-754-6667
대양석유,일반판매소,,197640.442240921,448830.361786818,2026-05-06 22:50:14,I,01,신규등록,2016-01-11 14:18:27,,2003-12-11,,서울특별시 용산구 남영동 101-3,2003302007401200014,3020000,서울특별시 용산구 한강대로76길 17 (남영동),,,01,영업/정상,,,02-712-7600
에이치디현대오일뱅크(주)직영 한강셀프주유소,주유소,,195122.135399337,448056.057888821,2026-05-06 22:50:14,I,01,신규등록,2025-11-19 10:42:10,,1976-04-30,157.2,서울특별시 용산구 청암동 168-22,2003302007401500001,3020000,서울특별시 용산구 원효로 9 (청암동),,,01,영업/정상,,,02-712-7124
에이치디현대오일뱅크(주)직영 갈월동주유소,주유소,,197476.794419389,449419.918621066,2026-05-06 22:50:14,I,01,신규등록,2025-11-19 10:39:54,,1976-04-30,1020,서울특별시 용산구 갈월동 11-34 sk갈월동주유소,2003302007401500002,3020000,"서울특별시 용산구 한강대로 322, 갈월동주유소 (갈월동)",04334,,01,영업/정상,,,02-754-5217
(주)중앙에너비스 한남지점,주유소,,200469.015383985,448053.840358266,2026-05-06 22:50:14,I,01,신규등록,2025-11-19 10:43:48,,1976-05-24,482,서울특별시 용산구 한남동 704-14,2003302007401500007,3020000,서울특별시 용산구 한남대로21길 4 (한남동),,,01,영업/정상,2012-05-21,2012-08-10,02-795-5688
(주)하나유화,용제판매소,2013-06-30,197231.546341055,447661.066844491,2026-05-06 22:50:15,I,03,폐지,2026-02-19 18:04:48,,2004-03-24,,서울특별시 용산구 한강로2가 244-1,2004302007401500001,3020000,서울특별시 용산구 한강대로 127-2 (한강로2가),,,03,폐업,,,02-790-5736
지에스칼텍스㈜서계주유소,주유소,,197186.302871541,450007.264946026,2026-05-06 22:50:15,I,01,신규등록,2025-04-14 15:55:05,,1976-05-04,749.4,서울특별시 용산구 서계동 47-15,2005302007401509188,3020000,서울특별시 용산구 청파로 367 (서계동),,,01,영업/정상,,,02-706-6485
(주)에이치아이씨,용제판매소,2013-04-10,195956.83241222,447651.530984522,2026-05-06 22:50:15,I,03,폐지,2026-02-19 18:04:06,,2007-05-02,,서울특별시 용산구 한강로3가 16-91 한강그랜드오피스텔 711호,2007302009501500002,3020000,서울특별시 용산구 이촌로 5 (한강로3가),,,03,폐업,,,02-795-0757
용산에너지,일반판매소,,197570.006193384,447953.578982142,2026-05-06 22:50:15,I,01,신규등록,2020-09-24 18:12:04,,2018-11-22,30,서울특별시 용산구 한강로1가 231-23,2018302015601200001,3020000,서울특별시 용산구 한강대로62길 18 (한강로1가),04382,,01,영업/정상,,,
대성주유소,주유소,,194213.321386135,455751.04468794,2026-05-06 22:50:14,I,06,휴지사업재개,2023-10-25 17:56:09,,1976-05-11,1944,서울특별시 은평구 녹번동 19-38 대성주유소,1976311008801500002,3110000,"서울특별시 은평구 통일로 642, 대성주유소 (녹번동)",03372,2019-06-12,01,영업/정상,2018-09-11,2019-09-09,02-355-3434
박석고개2주유소,주유소,,192903.807627485,458108.670512967,2026-05-06 22:50:14,I,01,신규등록,2025-03-31 08:56:04,,1976-04-25,661,서울특별시 은평구 불광동 493,1976311008801500005,3110000,서울특별시 은평구 통일로 924 (불광동),,,01,영업/정상,,,02-355-0349
서울석유(주) 박석고개주유소,주유소,,192804.221953207,458338.073870238,2026-05-06 22:50:15,I,06,휴지사업재개,2023-10-25 17:55:44,,1976-05-21,1962,서울특별시 은평구 갈현동 1-6,1976311008801500006,3110000,서울특별시 은평구 통일로 945 (갈현동),,2011-01-24,01,영업/정상,2010-07-24,2010-11-30,02-388-0477
지에스칼텍스(주)서부주유소,주유소,2026-03-10,192655.097595262,454273.720831963,2026-05-06 22:50:15,I,03,폐지,2026-03-10 16:53:29,,1976-04-30,1132,서울특별시 은평구 응암동 576-39,1976311008801500010,3110000,서울특별시 은평구 응암로 210 (응암동),,,03,폐업,,,02-302-6041
수색훼미리주유소,주유소,,190894.797096724,453204.452946997,2026-05-06 22:50:15,I,06,휴지사업재개,2023-10-25 17:55:15,,1978-05-28,964,서울특별시 은평구 수색동 154-5,1978311008801500013,3110000,서울특별시 은평구 수색로 236 (수색동),,2015-06-08,01,영업/정상,2014-09-17,2014-12-25,02-374-8770
지에스칼텍스(주)수색뉴타운 주유소,주유소,,189997.518475283,453879.981354996,2026-05-06 22:50:15,I,01,신규등록,2024-03-22 12:28:13,,1980-03-19,886,서울특별시 은평구 수색동 314-1,1980311008801500014,3110000,서울특별시 은평구 수색로 350 (수색동),,,01,영업/정상,,,02-302-8583
대림석유,일반판매소,,192388.978591747,453941.469868713,2026-05-06 22:50:16,I,07,영업개시,2018-08-22 10:43:15,,1990-10-31,,서울특별시 은평구 응암동 592-34,1990311008801200033,3110000,서울특별시 은평구 응암로9길 18 (응암동),,,01,영업/정상,2018-04-17,2019-04-16,02-305-6688
서오릉주유소,주유소,,191621.368791388,457311.896317658,2026-05-06 22:50:16,I,02,등록취소,2015-10-13 11:40:00,2015-07-06,1990-11-03,1925,서울특별시 은평구 구산동 304-1,1990311008801500017,3110000,서울특별시 은평구 서오릉로 269 (구산동),,,04,취소/말소/만료/정지/중지,,,02-353-3225
불광주유소,주유소,,193565.328017192,457884.061589947,2026-05-06 22:50:16,I,01,신규등록,2023-10-25 17:50:15,,1992-05-09,502,서울특별시 은평구 불광동 105-118,1992311008801500018,3110000,서울특별시 은평구 연서로 314 (불광동),,,01,영업/정상,,,02-382-5189
주식회사 오일닷컴 다회주유소,주유소,,192379.358456908,454817.316199086,2026-05-06 22:50:17,I,01,신규등록,2023-10-25 17:49:41,,1992-05-09,495,서울특별시 은평구 신사동 34-37,1992311008801500019,3110000,서울특별시 은평구 증산로 441 (신사동),,,01,영업/정상,,,02-375-5156
삼융주유소,주유소,,190321.180293801,453524.39376453,2026-05-06 22:50:17,I,05,사업휴지,2026-01-14 10:35:56,,1992-05-09,495,서울특별시 은평구 수색동 379-8,1992311008801500021,3110000,서울특별시 은평구 수색로 299 (수색동),,,02,휴업,2020-06-01,2023-12-31,02-307-3314
대명석유,일반판매소,,192470.662276857,455632.88253264,2026-05-06 22:50:19,I,01,신규등록,2026-04-17 09:31:22,,1998-01-15,,서울특별시 은평구 역촌동 63-21,1998311008801200056,3110000,서울특별시 은평구 연서로 41-1 (역촌동),,,01,영업/정상,,,02-382-6666
동일에너지,일반판매소,,193129.908974117,455059.150999591,2026-05-06 22:50:19,I,01,신규등록,2025-05-12 10:01:42,,2003-07-15,,서울특별시 은평구 응암동 101-78,2003311009901200060,3110000,서울특별시 은평구 응암로34길 17 (응암동),,,01,영업/정상,,,02-383-7426
지에스칼텍스(주) 직영점,주유소,,194308.278385233,455358.024937487,2026-05-06 22:50:19,I,02,등록취소,2021-01-05 15:49:30,2019-04-22,1976-05-27,657,서울특별시 은평구 녹번동 59-1,2006311011101542101,3110000,서울특별시 은평구 통일로 600 (녹번동),,,04,취소/말소/만료/정지/중지,,,02-385-5001
서정주유소,주유소,,192830.222863779,458550.572564312,2026-05-06 22:50:19,I,01,신규등록,2025-11-26 17:05:29,,2009-10-01,745.4,서울특별시 은평구 진관동 240-27,2009311012601500001,3110000,서울특별시 은평구 통일로 968 (진관동),,,01,영업/정상,,,
주식회사 디오티디 은평유니콘주유소,주유소,,,,2026-05-06 22:50:19,I,01,신규등록,2023-10-25 17:44:38,,2010-05-31,707.1,서울특별시 은평구 진관동 73-22,2010311012601500001,3110000,서울특별시 은평구 통일로 1151 (진관동),,,01,영업/정상,,,02-354-5182
(주)한화미 구파발주유소,주유소,,,,2026-05-06 22:50:19,I,07,영업개시,2024-08-12 10:47:27,,2017-02-08,800,,2017311012601500001,3110000,서울특별시 은평구 통일로 1031 (진관동),,,01,영업/정상,,,
동일석유,일반판매소,,193930.707919201,457489.780069315,2026-05-06 22:50:17,I,01,신규등록,2020-11-26 16:49:06,,1993-04-21,,서울특별시 은평구 불광동 217-3,1993311008801200009,3110000,서울특별시 은평구 불광로 147 (불광동),,,01,영업/정상,,,02-358-8856
서울서부고속주유소,주유소,,192506.482557087,453830.420282827,2026-05-06 22:50:17,I,01,신규등록,2024-06-17 14:49:36,,1993-06-23,390,서울특별시 은평구 응암동 594-1,1993311008801500024,3110000,서울특별시 은평구 응암로 163 (응암동),,,01,영업/정상,,,02-308-9264
코끼리주유소,주유소,,193233.784776026,455803.126126447,2026-05-06 22:50:18,I,01,신규등록,2023-10-25 17:48:16,,1993-12-13,665,서울특별시 은평구 녹번동 154-1,1993311008801500032,3110000,서울특별시 은평구 서오릉로 41 (녹번동),,2014-09-10,01,영업/정상,,,02-384-4000
타이거주유소,주유소,,191274.744550127,452910.079476527,2026-05-06 22:50:18,I,01,신규등록,2023-10-25 17:47:17,,1994-02-22,1643.4,서울특별시 은평구 증산동 222-6,1994311008801500034,3110000,서울특별시 은평구 수색로 188 (증산동),,,01,영업/정상,,,02-309-9145
제2한강주유소,주유소,,190911.17578689,448147.790559991,2026-05-06 22:57:58,I,01,신규등록,2023-03-13 10:48:33,,2005-09-26,491,서울특별시 영등포구 양평동4가 28,1976318007601500004,3180000,서울특별시 영등포구 선유로 260 (양평동4가),,,01,영업/정상,,,02-2633-2716
지에스칼텍스(주)신길주유소,주유소,,191859.74533489,444097.693174928,2026-05-06 22:57:59,I,01,신규등록,2024-04-03 15:56:03,,1976-05-18,414,서울특별시 영등포구 신길동 3632-2,1976318007601500005,3180000,서울특별시 영등포구 신길로 74 (신길동),,,01,영업/정상,2011-12-16,2012-04-30,02-833-1113
씨앤에스유통(주) 한성주유소,주유소,,193113.625600646,445001.039326144,2026-05-06 22:58:05,I,05,사업휴지,2024-05-31 09:51:29,,1976-05-24,995,서울특별시 영등포구 신길동 1155,1976318007601500014,3180000,서울특별시 영등포구 여의대방로 227 (신길동),,,02,휴업,2024-04-02,2024-05-31,02-836-4310
성원에너지,일반판매소,,192009.371597304,445480.730862783,2026-05-06 22:58:11,I,01,신규등록,2020-12-30 16:33:55,,1989-03-17,,서울특별시 영등포구 신길동 220-56,1989318007601500001,3180000,서울특별시 영등포구 신길로52길 1 (신길동),07313,,01,영업/정상,,,02-844-8465
GS칼텍스(주)한양주유소,주유소,,191808.957465525,447031.432915014,2026-05-06 22:58:11,I,01,신규등록,2025-07-18 13:26:30,,2005-09-26,404,서울특별시 영등포구 영등포동7가 94-160,1992318007601500002,3180000,서울특별시 영등포구 국회대로 665 (영등포동7가),,,01,영업/정상,,,02-2635-7781
(주)엠에스오일,주유소,,190861.061164981,444352.348551523,2026-05-06 22:58:12,I,01,신규등록,2025-11-28 09:57:39,,1992-05-01,683.2,서울특별시 영등포구 대림동 664-18,1992318007601500004,3180000,서울특별시 영등포구 대림로 230 (대림동),,,01,영업/정상,2010-10-23,2011-03-23,02-849-5577
에이치디현대오일뱅크(주)직영 대일셀프주유소,주유소,,191095.569363633,446478.0863859,2026-05-06 22:58:14,I,06,휴지사업재개,2025-05-02 15:53:55,,1993-06-02,318,"서울특별시 영등포구 당산동1가 5-3,4,5,6",1993318007601500003,3180000,서울특별시 영등포구 영등포로 168 (당산동1가),,2021-07-14,01,영업/정상,,,02-2630-7300
도림주유소,주유소,,191109.444526468,445065.062201183,2026-05-06 22:58:15,I,06,휴지사업재개,2024-04-29 16:11:01,,1993-07-02,141,서울특별시 영등포구 도림동 243-2,1993318007601500004,3180000,서울특별시 영등포구 도림로 343 (도림동),,2024-04-26,01,영업/정상,,,02-835-8881
행촌주유소,주유소,,191640.075994113,445159.446247431,2026-05-06 22:58:16,I,01,신규등록,2019-06-12 16:52:08,,1993-08-24,605,서울특별시 영등포구 신길동 298-34,1993318007601500005,3180000,서울특별시 영등포구 도신로 130 (신길동),,,01,영업/정상,,,02-832-7264
