건축물명,건축물상태명,건축물연면적,사업장명,청소대상시작일자,청소대상종료일자,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,업무구분,업무구분명,휴업폐지사유,휴업시작일자,휴업종료일자,소재지전화번호
,,,오구환경,,,,208481.612667873,455496.980508789,2026-05-03 22:53:35,I,11,정상,2022-06-08 15:15:22,,2015-07-22,,서울특별시 중랑구 신내동 ***-* 대명프라자B ***호,306000031201500003,3060000,"서울특별시 중랑구 봉화산로**길 ***, 대명프라자 B동 ***호 (신내동)",02071,,01,영업/정상,31,저수조청소업,,,,02-432-1946
,,,갑오건설(주),,,,208715.62727323,457214.286373055,2026-05-03 22:53:35,I,11,정상,2023-06-20 09:52:43,,2022-04-07,,서울특별시 중랑구 신내동 ***,306000031201600001,3060000,서울특별시 중랑구 용마산로***가길 **-** (신내동),02052,,01,영업/정상,31,저수조청소업,,,,02-494-3599
,,,(주) 에스앤산업,,,,207930.583260957,454733.598639642,2026-05-03 22:53:35,I,1,휴업,2022-04-07 17:30:53,,2016-03-21,,서울특별시 중랑구 상봉동 **-** 승조오피스텔,306000031201600003,3060000,"서울특별시 중랑구 상봉로**길 **, 승조오피스텔 ***호 (상봉동)",02151,,02,휴업,31,저수조청소업,거래처 감소로 인한 휴업,2022-04-07,2027-04-06,02-2207-6765
,,,한성비앤케이 주식회사,,,2026-03-31,208112.860200669,457113.638411288,2026-05-03 22:53:31,I,2,폐업,2026-04-10 14:28:14,,2016-06-01,,서울특별시 중랑구 신내동 *** 금강리빙스텔 ***호,306000031201600004,3060000,"서울특별시 중랑구 신내로 ***, ***호 (신내동, 금강리빙스텔)",,,03,폐업,31,저수조청소업,영업종료,,,02-491-1627
,,,제이피산업건설(주),,,,209856.1161416,456761.921129526,2026-05-03 22:53:35,I,11,정상,2026-02-20 13:25:37,,2018-03-21,,서울특별시 중랑구 신내동 ***-* 신내 SK V* center B동 ****호,306000031201800001,3060000,"서울특별시 중랑구 신내역로 ***, 신내 SK V* center B동 ****호 (신내동)",02262,,01,영업/정상,31,저수조청소업,,,,02-432-7100
,,,(주)지안디엔씨,,,,208779.560451161,456008.735972568,2026-05-03 22:53:35,I,11,정상,2024-01-19 10:13:02,,2018-05-09,,서울특별시 중랑구 신내동 ***-* 피울파크빌 *층,306000031201800002,3060000,"서울특별시 중랑구 용마산로 ***-**, 피울파크빌 *층 (신내동)",02068,,01,영업/정상,31,저수조청소업,,,,02-493-1501
,,,(주)자이언,,,,208295.099818379,456014.999180519,2026-05-03 22:53:35,I,11,정상,2024-11-14 13:16:37,,2020-04-27,,서울특별시 중랑구 신내동 *** 신아타운 ***호,306000031202000002,3060000,"서울특별시 중랑구 봉화산로 ***, 신아타운 ***호 (신내동)",02076,,01,영업/정상,31,저수조청소업,,,,02-955-0107
,,,에스제이워터웍스(주),,,,209056.062172999,457423.347761248,2026-05-03 22:53:35,I,11,정상,2024-07-19 15:47:40,,2020-09-21,,서울특별시 중랑구 신내동 *** ***호,306000031202000003,3060000,"서울특별시 중랑구 용마산로***나길 **, ***호 (신내동)",02052,,01,영업/정상,31,저수조청소업,,,,02-433-8664
,,,동현종합건설(주),,,,208075.550921967,452991.036422095,2026-05-03 22:53:35,I,11,정상,2026-03-11 14:13:42,,2015-02-16,,서울특별시 중랑구 면목동 ****-*,306000031202100001,3060000,"서울특별시 중랑구 용마산로 ***, 지*층 비***호 (면목동)",02259,,01,영업/정상,31,저수조청소업,,,,02-464-1194
,,,(주)태민씨앤씨,,,,208242.880932415,455089.30701884,2026-05-03 22:53:35,I,11,정상,2023-06-20 10:08:48,,2022-01-03,,서울특별시 중랑구 망우동 ***-** 이안빌딩 ***호,306000031202100002,3060000,"서울특별시 중랑구 용마산로***길 ***, 이안빌딩 ***호 (망우동)",02163,,01,영업/정상,31,저수조청소업,,,,02-493-9938
,,,에스티액스이엔씨 주식회사,,,2026-03-05,208185.587866215,455005.951408018,2026-05-03 22:53:35,I,2,폐업,2026-03-10 13:29:30,,2023-01-16,,서울특별시 중랑구 망우동 *** 한일써너스빌리젠시*단지,306000031202300001,3060000,"서울특별시 중랑구 용마산로***길 ***, 제*층 에스****호 (망우동, 한일써너스빌리젠시*단지)",02163,,03,폐업,31,저수조청소업,사업 지속 불가,,,02-433-0773
,,,태영종합환경,,,,207152.801172426,453936.570287507,2026-05-03 22:53:35,I,11,정상,2026-04-03 14:10:26,,2023-10-23,,서울특별시 중랑구 면목동 ***-** 지하*층,306000031202300002,3060000,"서울특별시 중랑구 겸재로**가길 *, 지하*층 (면목동)",02147,,01,영업/정상,31,저수조청소업,,,,
,,,제일방역,,,,206945.245725484,455052.903411226,2026-05-03 22:53:35,I,11,정상,2024-11-14 13:15:45,,2024-01-18,,서울특별시 중랑구 중화동 ***-** *층,306000031202400001,3060000,"서울특별시 중랑구 동일로***길 **, *층 (중화동)",02103,,01,영업/정상,31,저수조청소업,,,,
,,,제일티엠에스 주식회사,,,,206270.61746178,454942.467371319,2026-05-03 22:53:35,I,11,정상,2026-02-20 13:28:31,,2024-01-15,,서울특별시 중랑구 중화동 ***-* 대림효성 ***호,306000031202400002,3060000,"서울특별시 중랑구 중랑천로 ***-*, 대림효성 ***호 (중화동)",02114,,01,영업/정상,31,저수조청소업,,,,02-492-1183
